digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,87.0,0.3140794223826715,0.30103,0.40798179711370897,0.15669407232640822
2,34.0,0.12274368231046931,0.176091,2.252138881210706,4.476800951740613
3,20.0,0.07220216606498195,0.124939,2.563660784208397,6.16608986798869
4,20.0,0.07220216606498195,0.09691,1.2884817402962832,1.7449400990572586
5,30.0,0.10830324909747292,0.0791812,1.6837386393996228,2.966890713794029
6,23.0,0.08303249097472924,0.0669468,0.9509755349306958,1.0706052984646397
7,35.0,0.1263537906137184,0.0579919,4.73938040026225,22.32238330618783
8,12.0,0.04332129963898917,0.0511525,0.45524785501705595,0.33210053563599096
9,16.0,0.05776173285198556,0.0457575,0.812352579548834,0.8723410361802758
