digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,8689.0,0.3064254478769925,0.30103,1.9742137781779308,2.7421435856493814
2,4636.0,0.16349273522358584,0.176091,5.561817487477974,25.55814155510473
3,3681.0,0.12981379602200593,0.124939,2.473642825320181,5.393365319714548
4,2539.0,0.08954013259980251,0.09691,4.184966807136087,15.892628154974414
5,2161.0,0.07620962053886303,0.0791812,1.84215844816461,3.1622600706687973
6,2193.0,0.07733812949640288,0.0669468,6.9893680227444746,45.7359154895671
7,1877.0,0.06619410354069685,0.0579919,5.896677756712395,32.895668338598284
8,1312.0,0.04626886725913387,0.0511525,3.719314717989165,13.220993660302748
9,1268.0,0.044717167442516574,0.0457575,0.8241571870688413,0.6706980743269828
