digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,132.0,0.3793103448275862,0.30103,3.1250930958794267,7.083940837927708
2,66.0,0.1896551724137931,0.176091,0.5939485022895048,0.36360402915733797
3,64.0,0.1839080459770115,0.124939,3.2458833813237793,9.685664503771726
4,22.0,0.06321839080459771,0.09691,2.0339231211546234,4.076187560635116
5,22.0,0.06321839080459771,0.0791812,1.0035484816010398,1.1198911425725961
6,14.0,0.040229885057471264,0.0669468,1.8869086151205205,3.710411152259969
7,0.0,0.0,0.0579919,4.513885623028125,20.1811812
8,8.0,0.022988505747126436,0.0511525,2.2631411954744003,5.396359496642617
9,20.0,0.05747126436781609,0.0457575,0.9174760329653354,1.043541975224211
