digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,72.0,0.15,0.30103,7.163808049202026,36.371222908015824
2,150.0,0.3125,0.176091,7.786213158494601,50.721271018280326
3,46.0,0.09583333333333334,0.124939,1.8595249649876233,3.2546052026455574
4,72.0,0.15,0.09691,3.8545850489523565,13.960407470849246
5,90.0,0.1875,0.0791812,8.704215805603035,71.12574661726777
6,16.0,0.03333333333333333,0.0669468,2.855250809424705,8.100988663364543
7,10.0,0.020833333333333332,0.0579919,3.385478794655093,11.42856772801259
8,12.0,0.025,0.0511525,2.4971814684228546,6.418015991398267
9,12.0,0.025,0.0457575,2.0671654375640527,4.519902245533519
