digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,2594.0,0.28732831191847585,0.30103,2.826680260538606,5.630279114129365
2,1578.0,0.17478954364200266,0.176091,0.3108358446645082,0.08683875921083395
3,1169.0,0.12948604342046965,0.124939,1.2907272796031628,1.4940038876333306
4,986.0,0.10921577315019938,0.09691,3.934557288273196,14.10719815185832
5,775.0,0.08584404076207355,0.0791812,2.3250485494418522,5.061606034050015
6,607.0,0.06723526805494019,0.0669468,0.08861181227615937,0.011221661907857644
7,488.0,0.05405405405405406,0.0579919,1.5783091672649476,2.414024405226558
8,422.0,0.04674346477625166,0.0511525,1.8776638420598906,3.4309297297923043
9,409.0,0.04530350022153301,0.0457575,0.1812552329093703,0.04066685094247779
