digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,7856.0,0.23048937918084733,0.30103,28.385076769194292,563.4032307754594
2,6640.0,0.19481281539725384,0.176091,9.067229432969016,67.84366705492911
3,5824.0,0.17087196338457927,0.124939,25.638513600391093,575.5743889286266
4,3304.0,0.09693697922779017,0.09691,0.007681905935967933,2.5600060578618677E-4
5,2356.0,0.06912334233071236,0.0791812,6.8667105892113725,43.54511566542636
6,2164.0,0.06349020068067128,0.0669468,2.542489433800644,6.083013970388674
7,2020.0,0.05926534444314047,0.0579919,0.9942883067934444,0.9531104343020794
8,1918.0,0.056272737941556156,0.0511525,4.2784624818669155,17.468836477781263
9,2002.0,0.05873723741344913,0.0457575,11.454853727664744,125.49316754521448
