digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,2483.0,0.28546792366061163,0.30103,3.152360541566036,6.997529008732324
2,1428.0,0.16417567256840654,0.176091,2.9034021392729152,7.012844448736869
3,1213.0,0.13945734651644057,0.124939,4.0788309627896355,14.674242547966639
4,921.0,0.10588641066911934,0.09691,2.8117225120212255,7.231963678246931
5,666.0,0.07656932628190388,0.0791812,0.8822641841182716,0.7493792694365271
6,558.0,0.06415267877673028,0.0669468,1.0211951433039876,1.0143318641520989
7,559.0,0.06426764773511152,0.0579919,2.481234542205088,5.907218315025371
8,447.0,0.05139112439641297,0.0511525,0.07668178710367225,0.009682382270601104
9,423.0,0.04863186939526328,0.0457575,1.2572402724917224,1.5705156741270156
