digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,21.0,0.30434782608695654,0.30103,0.06008194806490849,0.002523170202594244
2,46.0,0.6666666666666666,0.176091,10.540457374099923,94.30265854618162
3,2.0,0.028985507246376812,0.124939,2.228511235267252,5.084785545280124
4,0.0,0.0,0.09691,2.5176248469866906,6.686789999999999
5,0.0,0.0,0.0791812,2.212919406692988,5.4635028
6,0.0,0.0,0.0669468,1.9841926667328957,4.6193292
7,0.0,0.0,0.0579919,1.8034798414703477,4.0014411
8,0.0,0.0,0.0511525,1.655457348873986,3.5295224999999997
9,0.0,0.0,0.0457575,1.530911934526519,3.1572675
