digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,2554.0,0.2937996088807086,0.30103,1.4579541244802243,1.5096750657070965
2,1544.0,0.17761417232255838,0.176091,0.35876356020873446,0.11453299011953641
3,1174.0,0.135051190613137,0.124939,2.8352059835850154,7.1147910298293375
4,827.0,0.09513401587484183,0.09691,0.5415968347402954,0.282930159882269
5,776.0,0.08926722650408375,0.0791812,3.4627654713245133,11.168319008336676
6,647.0,0.07442770044863684,0.0669468,2.769290956868608,7.266873624196412
7,502.0,0.0577476130219717,0.0579919,0.07450401162547184,0.0089454661344787
8,330.0,0.03796157828137582,0.0511525,5.558153143304184,29.570120999663168
9,339.0,0.03899689405268607,0.0457575,2.990881904508252,8.683176672498005
