digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,11020.0,0.28615943910672553,0.30103,6.3562445666870735,28.289054961682595
2,6620.0,0.17190340171384055,0.176091,2.150774844673942,3.835008983619329
3,4684.0,0.12163074526097117,0.124939,1.9557337553815954,3.3734430249881076
4,3445.0,0.0894572838223838,0.09691,4.935080810816931,22.07161385937647
5,2968.0,0.07707089067774604,0.0791812,1.5242440405867683,2.1659262972100044
6,2393.0,0.06213970397299403,0.0669468,3.7642360993951365,13.292580256518708
7,2247.0,0.0583484809140483,0.0579919,0.2884864906704802,0.08443497294671083
8,2272.0,0.058997662944689694,0.0511525,6.976502268452079,46.33515191872306
9,2861.0,0.07429239158660088,0.0457575,26.78581169265887,685.2730996656859
