digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,132.0,0.1791044776119403,0.30103,7.175810038880085,36.39543875386547
2,132.0,0.1791044776119403,0.176091,0.16642632193667423,0.0380072341750539
3,110.0,0.14925373134328357,0.124939,1.9406407997394128,3.487453398363953
4,74.0,0.10040705563093623,0.09691,0.2586556298920845,0.09300450303664114
5,92.0,0.1248303934871099,0.0791812,4.521326963095877,19.39597548735548
6,45.0,0.06105834464043419,0.0669468,0.5659209812196412,0.38171606568825767
7,34.0,0.04613297150610583,0.0579919,1.2986259507686226,1.7872736427357683
8,75.0,0.10176390773405698,0.0511525,6.153038085197813,36.906040856468884
9,43.0,0.05834464043419267,0.0457575,1.5471702339991593,2.551874750074521
