digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,118.0,0.36085626911314983,0.30103,2.2981985312640885,3.887960235364186
2,40.0,0.12232415902140673,0.176091,2.4799930272037485,5.368335308126302
3,40.0,0.12232415902140673,0.124939,0.05938149580709511,0.017895353918865233
4,33.0,0.10091743119266056,0.09691,0.15149273955224196,0.05418902133730437
5,32.0,0.09785932721712538,0.0791812,1.148461533252184,1.4407622855285391
6,17.0,0.05198776758409786,0.0669468,0.9716976251062005,1.0930120157818388
7,15.0,0.045871559633027525,0.0579919,0.8194296645127012,0.8283426952709401
8,14.0,0.04281345565749235,0.0511525,0.5589704632992599,0.4445426713971541
9,18.0,0.05504587155963303,0.0457575,0.6714860479964471,0.6165447788263013
