digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,10608.0,0.2747261285059436,0.30103,11.26259429056013,88.74892775719933
2,5543.0,0.1435526895087147,0.176091,16.779565128648184,232.1594591265794
3,4950.0,0.12819516743065806,0.124939,1.9274130446537105,3.2767927607107312
4,4057.0,0.10506824126589491,0.09691,5.410328447006277,26.519054803793537
5,3044.0,0.07883355346644913,0.0791812,0.2435685144115571,0.058936897771830546
6,2567.0,0.06648020096858571,0.0669468,0.3566724758728615,0.12557158843494287
7,2294.0,0.05941004324968275,0.0579919,1.1813868891417285,1.3390796537302125
8,2214.0,0.05733820215989434,0.0511525,5.505718993299489,28.883158996868403
9,3336.0,0.08639577344417683,0.0457575,38.20349477031659,1393.6116017156787
