digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,8795.0,0.25176046258659185,0.30103,20.069765833463137,281.7056171467143
2,5756.0,0.16476784794183316,0.176091,5.549246150314138,25.435825395083963
3,4414.0,0.12635255052384498,0.124939,0.7909472420713975,0.558692655341217
4,3656.0,0.1046544913265014,0.09691,4.883867510089287,21.620489269313072
5,2907.0,0.0832140608003664,0.0791812,2.781603346439675,7.175508788173244
6,2456.0,0.0703040018320261,0.0669468,2.499930965327723,5.881300851725215
7,2171.0,0.062145760577088226,0.0579919,3.310290288629627,10.39405017732257
8,2081.0,0.059569473865002574,0.0511525,7.128684069532282,48.383068606771175
9,2698.0,0.07723135054674529,0.0457575,28.139473960058947,756.2855176234781
