digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,20.0,0.2898550724637681,0.30103,0.07114145661099369,0.02862389587536909
2,16.0,0.2318840579710145,0.176091,1.0587072502233938,1.2197540301618592
3,8.0,0.11594202898550725,0.124939,0.043978645998395564,0.04470372448201082
4,18.0,0.2608695652173913,0.09691,4.400279655796456,19.140532378630112
5,7.0,0.10144927536231885,0.0791812,0.46211009871152803,0.4321080691324696
6,0.0,0.0,0.0669468,1.9841926667328957,4.6193292
7,0.0,0.0,0.0579919,1.8034798414703477,4.0014411
8,0.0,0.0,0.0511525,1.655457348873986,3.5295224999999997
9,0.0,0.0,0.0457575,1.530911934526519,3.1572675
