digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,2608.0,0.3121484141232795,0.30103,2.2036267215350813,3.4310130319664727
2,1285.0,0.1538001196888091,0.176091,5.334880845419685,23.575653201325963
3,996.0,0.1192100538599641,0.124939,1.5671815162028415,2.194814937523401
4,758.0,0.09072411729503291,0.09691,1.8927930009820637,3.2989916947162206
5,614.0,0.07348892878515859,0.0791812,1.9066485863785996,3.418971996870116
6,607.0,0.07265110712148413,0.0669468,2.064323331380764,4.060901273788649
7,596.0,0.0713345302214243,0.0579919,5.194591605600055,25.648502672622072
8,538.0,0.06439257929383603,0.0511525,5.468456179112747,28.63259842730137
9,353.0,0.04225014961101137,0.0457575,1.508056920723753,2.2461692379558307
