digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,39785.0,0.3497121258735112,0.30103,35.79319803474887,895.6492414913531
2,17845.0,0.15685843625016482,0.176091,17.026840061881334,238.97136964499074
3,9766.0,0.08584362501648134,0.124939,39.87610365966747,1391.750582128253
4,8332.0,0.07323869379861996,0.09691,26.98336468549824,657.7858459044633
5,7597.0,0.06677800729574122,0.0791812,15.487659091159745,221.03119637044728
6,7313.0,0.06428163319122752,0.0669468,3.5908217510309774,12.070566146560216
7,7224.0,0.06349931877115106,0.0579919,7.941357273597372,59.50281803005055
8,7150.0,0.06284885509603129,0.0511525,17.90028799229583,304.2586238972678
9,8753.0,0.0769393047070716,0.0457575,50.32500695258999,2417.4020006344076
