digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,2747.0,0.3115218870492175,0.30103,2.1362448880018867,3.224538220112612
2,1714.0,0.1943751417555001,0.176091,4.4936838082340405,16.741026893965017
3,1074.0,0.12179632569743706,0.124939,0.8764131109576286,0.697061052396792
4,768.0,0.08709457926967566,0.09691,3.0976191867511793,8.76636079775987
5,641.0,0.07269222045815378,0.0791812,2.236926325377617,4.689222337505492
6,545.0,0.06180539804944432,0.0669468,1.9104349100652842,3.481796525053832
7,477.0,0.05409389884327512,0.0579919,1.5433064385973772,2.3103973829312645
8,430.0,0.04876389203901112,0.0511525,0.9939496880286446,0.9835421609359924
9,422.0,0.04785665683828533,0.0457575,0.9178610597592731,0.8491757475584825
