digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,217.0,0.3364341085271318,0.30103,1.9172757572777193,2.6856985379782614
2,96.0,0.14883720930232558,0.176091,1.765495529040951,2.7206732556931112
3,86.0,0.13333333333333333,0.124939,0.585217908226573,0.36377605640886046
4,52.0,0.08062015503875969,0.09691,1.3319013498377505,1.766139578118912
5,55.0,0.08527131782945736,0.0791812,0.49989499690899375,0.30212664355876284
6,43.0,0.06666666666666667,0.0669468,0.028466005670238236,7.560655844143033E-4
7,36.0,0.05581395348837209,0.0579919,0.15242281820035603,0.052757814450730994
8,37.0,0.05736434108527132,0.0511525,0.6267283994341168,0.48655677506062867
9,23.0,0.03565891472868217,0.0457575,1.133165269654028,1.4375352410192845
