digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,1511.0,0.3393980233602875,0.30103,5.564674114617419,21.771293306960832
2,502.0,0.11275831087151841,0.176091,11.074559907631222,101.40838196451975
3,554.0,0.12443845462713388,0.124939,0.0783439633384403,0.008927791355504101
4,523.0,0.11747529200359388,0.09691,4.613010256961212,19.429262811676878
5,338.0,0.07592093441150045,0.0791812,0.7778720622128806,0.5976391461866162
6,313.0,0.07030548068283918,0.0669468,0.8666778445071691,0.7501753087099199
7,210.0,0.04716981132075472,0.0579919,3.05736383409305,8.991041339466546
8,328.0,0.07367475292003593,0.0511525,6.787138400979285,44.148093535932496
9,173.0,0.038858939802336026,0.0457575,2.1669404798514496,4.630306971078686
