digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,1429.0,0.32097933513027854,0.30103,2.8854927287136274,5.885755665442013
2,715.0,0.16060197663971248,0.176091,2.6935988583818102,6.0654924351978785
3,755.0,0.16958670260557052,0.124939,8.986999034859021,71.03221598618318
4,430.0,0.09658580413297395,0.09691,0.047789408043391025,0.004828380753235252
5,268.0,0.06019766397124888,0.0791812,4.663152163123327,20.26223267605919
6,273.0,0.06132075471698113,0.0669468,1.471991992583162,2.1049015093227617
7,143.0,0.032120395327942496,0.0579919,7.353581112044642,51.38438859205333
8,256.0,0.05750224618149147,0.0511525,1.889087683752911,3.509142647706667
9,183.0,0.04110512129380054,0.0457575,1.4497047762704176,2.105925415298009
