digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,1411.0,0.3169362084456424,0.30103,2.297379741564012,3.7417840202020844
2,823.0,0.1848607367475292,0.176091,1.516555283729398,1.9444246113005883
3,669.0,0.15026954177897575,0.124939,5.0889015456341165,22.863677602884373
4,375.0,0.08423180592991913,0.09691,2.834137033861363,7.384164326897904
5,258.0,0.057951482479784364,0.0791812,5.218192177539105,25.34086921465254
6,257.0,0.057726864330637916,0.0669468,2.4314462847227847,5.653027711592254
7,193.0,0.04335130278526505,0.0579919,4.147448815065842,16.455284797564396
8,250.0,0.05615453728661276,0.0511525,1.4809167906507121,2.177620223414102
9,216.0,0.04851752021563342,0.0457575,0.8454494751888788,0.7411692509822305
