digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,1396.0,0.31356693620844567,0.30103,1.807285585606004,2.324492820616263
2,780.0,0.1752021563342318,0.176091,0.13602858513668356,0.019974170814003146
3,633.0,0.1421832884097035,0.124939,3.457139805958572,10.596139950170224
4,308.0,0.06918238993710692,0.09691,6.228415050766891,35.319247155390876
5,308.0,0.06918238993710692,0.0791812,2.442992105460216,5.621208750357539
6,294.0,0.0660377358490566,0.0669468,0.21270823414990753,0.05495590903704899
7,220.0,0.04941599281221923,0.0579919,2.4161373746972905,5.646092153972366
8,250.0,0.05615453728661276,0.0511525,1.4809167906507121,2.177620223414102
9,263.0,0.059074573225516624,0.0457575,4.216457282019723,17.25482038432763
