digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,1402.0,0.31491464510332434,0.30103,2.003323247989204,2.8511163726563242
2,693.0,0.15566037735849056,0.176091,3.5592380277878535,10.553127873917248
3,602.0,0.13522012578616352,0.124939,2.0520116412379625,3.7665043674308265
4,379.0,0.08513027852650494,0.09691,2.63149357016551,6.3746538308262535
5,293.0,0.06581311769991015,0.0791812,3.275552127083883,10.04780730461971
6,331.0,0.0743486073674753,0.0669468,1.946063923164245,3.64334996240002
7,199.0,0.04469901168014376,0.0579919,3.762712939428386,13.565210266335944
8,316.0,0.07097933513027853,0.0511525,5.970796614774891,34.21330918318784
9,237.0,0.05323450134770889,0.0457575,2.351644452709042,5.439359773414371
