digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,172.0,0.27086614173228346,0.30103,1.6138089381976015,1.9192773127354636
2,57.0,0.08976377952755905,0.176091,5.65909501553484,26.873985675053614
3,62.0,0.09763779527559055,0.124939,2.0206482225723734,3.7882560283147297
4,42.0,0.06614173228346457,0.09691,2.553766728955412,6.203134861268308
5,53.0,0.08346456692913386,0.0791812,0.3262540069881637,0.14713710424311002
6,55.0,0.08661417322834646,0.0669468,1.9035754087641648,3.668906307119312
7,61.0,0.09606299212598425,0.0579919,4.0197104408292,15.870735660452391
8,86.0,0.13543307086614173,0.0511525,9.550061501499167,88.17831557024465
9,47.0,0.07401574803149606,0.0457575,3.312824141530415,11.081585520386053
