digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,41.0,0.5942028985507246,0.30103,5.177794730425087,19.70094024741623
2,0.0,0.0,0.176091,3.6821678117148706,12.150279
3,0.0,0.0,0.124939,2.9566887650235376,8.620790999999999
4,0.0,0.0,0.09691,2.5176248469866906,6.686789999999999
5,0.0,0.0,0.0791812,2.212919406692988,5.4635028
6,0.0,0.0,0.0669468,1.9841926667328957,4.6193292
7,9.0,0.13043478260869565,0.0579919,2.3170631920145737,6.244148158714422
8,15.0,0.21739130434782608,0.0511525,5.994726098925397,37.277522406502946
9,4.0,0.057971014492753624,0.0457575,0.1974559484884793,0.2249407332626234
