digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,10455.0,0.26882826360854695,0.30103,13.838730852943032,133.96702484555894
2,4970.0,0.1277930626623126,0.176091,24.99938443654462,515.1920086776989
3,5652.0,0.14532925355480703,0.124939,12.153604151158348,129.41849266586337
4,4117.0,0.10585996760175877,0.09691,5.957607687871201,32.145741136526915
5,2964.0,0.0762130055796971,0.0791812,2.1584081944494455,4.327247340748198
6,2687.0,0.06909053508523823,0.0669468,1.6813772095426012,2.669694206429035
7,2332.0,0.059962459180787325,0.0579919,1.6518108534008216,2.6041184654160316
8,2520.0,0.06479648247666556,0.0511525,12.201820940888853,141.53522907024976
9,3194.0,0.08212697025018642,0.0457575,34.31211274629431,1124.2445020589887
