digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,11331.0,0.2898324593937844,0.30103,4.821173725287087,16.283836416538936
2,6863.0,0.17554674510807008,0.176091,0.2758846324368838,0.06576407868657803
3,4341.0,0.11103721703542653,0.124939,8.305450795444894,60.47337399276084
4,3491.0,0.08929530630515412,0.09691,5.080812817170705,23.39146920640804
5,2725.0,0.06970200792940273,0.0791812,6.931822864466255,44.365132669866746
6,2303.0,0.05890778871978514,0.0669468,6.349706587472563,37.73954593644471
7,2223.0,0.05686149123928891,0.0579919,0.9454608575448461,0.861439752141248
8,2318.0,0.05929146949737818,0.0511525,7.293154489776525,50.62828254760523
9,3500.0,0.08952551477170993,0.0457575,41.40282857580248,1636.7133536869044
