digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,31.0,0.25203252032520324,0.30103,1.0863715706428159,0.9809408390569092
2,15.0,0.12195121951219512,0.176091,1.4580185652478364,2.047391673884109
3,11.0,0.08943089430894309,0.124939,1.0546521752518283,1.2412580946011573
4,7.0,0.056910569105691054,0.09691,1.347140901201277,2.030692395416751
5,26.0,0.21138211382113822,0.0791812,5.2629005081959015,27.148881788388085
6,11.0,0.08943089430894309,0.0669468,0.8173381189736313,0.9288082943156946
7,11.0,0.08943089430894309,0.0579919,1.2989101063887944,2.0964044059326215
8,4.0,0.032520325203252036,0.0511525,0.7333225407197601,0.834767143966729
9,7.0,0.056910569105691054,0.0457575,0.37619886963448385,0.3343733138520986
