digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,35759.0,0.31262239474052317,0.30103,8.543933309429372,51.0624705576431
2,18100.0,0.1582389145335012,0.176091,15.84736424107007,207.0170114217965
3,10368.0,0.09064204783885858,0.124939,35.07636938600061,1076.9072716777766
4,8870.0,0.07754581060288152,0.09691,22.13268485296946,442.5836128155926
5,8774.0,0.07670653238215135,0.0791812,3.0940944936337447,8.846611412771006
6,8622.0,0.07537767519932857,0.0669468,11.402811740104086,121.44531842572232
7,7824.0,0.06840117498950903,0.0579919,15.056003930243733,213.71691936723616
8,7604.0,0.06647782906700238,0.0511525,23.519978267167236,525.1919161015805
9,8463.0,0.07398762064624423,0.0457575,45.684365713673486,1992.1794674810674
