digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,2800.0,0.3177124702144559,0.30103,3.4025820274428886,8.14769395799943
2,1609.0,0.18257120163394985,0.176091,1.5831541251976171,2.101665760761783
3,1070.0,0.12141155111766708,0.124939,0.9854000950010102,0.8777022313031032
4,842.0,0.09554067854306139,0.09691,0.41652416183171237,0.17051634049827047
5,634.0,0.0719391807557018,0.0791812,2.498088084892175,5.837421319980796
6,520.0,0.059003744468398955,0.0669468,2.9622262730114506,8.305564299900478
7,512.0,0.05809599455350051,0.0579919,0.019022354762377295,0.0016466922654961714
8,452.0,0.05128787019176217,0.0511525,0.033508167335809205,0.003157206544169659
9,374.0,0.04243730852150233,0.0457575,1.4661529294152862,2.123184538559144
