digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,108.0,0.4931506849315068,0.30103,6.124492241756426,26.85236790254372
2,39.0,0.1780821917808219,0.176091,0.07736186750552852,0.004930978818081491
3,16.0,0.0730593607305936,0.124939,2.219755853497505,4.717804981538972
4,11.0,0.0502283105022831,0.09691,2.22096322774966,4.924573825457786
5,9.0,0.0410958904109589,0.0791812,1.96215674999165,4.011779142296279
6,5.0,0.0228310502283105,0.0669468,2.4769615501340385,6.366512869384534
7,7.0,0.0319634703196347,0.0579919,1.5034506658555684,2.558425128440919
8,10.0,0.045662100456621,0.0511525,0.21544144776516716,0.1290580652941703
9,14.0,0.0639269406392694,0.0457575,1.1250848298049585,1.580028574955399
