digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,8.0,0.3333333333333333,0.30103,0.1224996594633908,0.08319479210266961
2,0.0,0.0,0.176091,1.9968731269448132,4.226184
3,12.0,0.5,0.124939,5.248315350896795,27.021971436493015
4,0.0,0.0,0.09691,1.2598164735428183,2.32584
5,0.0,0.0,0.0791812,1.0586014251382263,1.9003487999999997
6,0.0,0.0,0.0669468,0.9038893687703223,1.6067232
7,0.0,0.0,0.0579919,0.7788495741254424,1.3918056
8,4.0,0.16666666666666666,0.0511525,2.1054069475784627,6.260584425329488
9,0.0,0.0,0.0457575,0.5843401742760838,1.09818
