digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,180.0,0.3333333333333333,0.30103,1.5895704447488865,1.8718828223100648
2,132.0,0.24444444444444444,0.176091,4.113635938920902,14.327730652938916
3,134.0,0.24814814814814815,0.124939,8.594004503934146,65.61175342520632
4,8.0,0.014814814814814815,0.09691,6.375858191320219,37.55437511627817
5,0.0,0.0,0.0791812,6.734608720035184,42.757847999999996
6,18.0,0.03333333333333333,0.0669468,3.039212121034696,9.11361224628511
7,44.0,0.08148148148148149,0.0579919,2.243341310388552,5.13779746162111
8,20.0,0.037037037037037035,0.0511525,1.3912167274007678,2.103377139254986
9,4.0,0.007407407407407408,0.0457575,4.161869867716406,17.356586024250227
