digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,184.0,0.3484848484848485,0.30103,2.329750082709431,3.949892955559642
2,78.0,0.14772727272727273,0.176091,1.6539594198764231,2.412255828493633
3,92.0,0.17424242424242425,0.124939,3.3604948601151037,10.272829100529298
4,88.0,0.16666666666666666,0.09691,5.344619514886685,26.511650639424907
5,6.0,0.011363636363636364,0.0791812,5.69054698422781,30.66875954188794
6,22.0,0.041666666666666664,0.0669468,2.237161944739289,5.040374665157809
7,52.0,0.09848484848484848,0.0579919,3.8878392761974103,14.928816732236767
8,4.0,0.007575757575757576,0.0511525,4.446295656134789,19.600925655696795
9,2.0,0.003787878787878788,0.0457575,4.511076241896109,20.325523188018522
