digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,2373.0,0.29013326812568774,0.30103,2.1363327560467407,3.226138136919907
2,1657.0,0.20259200391245874,0.176091,6.27770993309305,32.620281225293354
3,957.0,0.11700696906712311,0.124939,2.1528127339735295,4.11880262604812
4,684.0,0.08362880547744223,0.09691,4.041418212205744,14.886955489324997
5,752.0,0.09194278029098912,0.0791812,4.253740778324787,16.822364676584588
6,581.0,0.07103557892162857,0.0669468,1.4574154290205492,2.042479204370543
7,452.0,0.05526347964298814,0.0579919,1.0320697724667838,1.0499181239936863
8,393.0,0.04804988384888128,0.0511525,1.2485444170789506,1.5391801080903837
9,330.0,0.04034723071280107,0.0457575,2.315118966925137,5.232095755736325
