digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,8243.0,0.24185077604670951,0.30103,23.81202578159021,396.52134208459813
2,6128.0,0.17979637942669366,0.176091,1.7888360963382275,2.657455657028175
3,5085.0,0.14919461315025087,0.124939,13.534750115623536,160.49603359934545
4,3216.0,0.09435789103071912,0.09691,1.5834876741874595,2.2906970084894414
5,2415.0,0.07085643869377696,0.0791812,5.681677393726496,29.830416366597955
6,2340.0,0.06865592817533668,0.0669468,1.2516463234814197,1.4871585043310027
7,2157.0,0.0632866825103424,0.0579919,4.170624505728408,16.476566972183807
8,2222.0,0.06519379162632398,0.0511525,11.754126115114623,131.3666331354406
9,2277.0,0.06680749933984685,0.0457575,18.584791790548547,330.04997126700624
