digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,2662.0,0.3189169761590991,0.30103,3.550676667941286,8.871447589349023
2,1515.0,0.18150233616868336,0.176091,1.2835926158738402,1.388040962129184
3,1102.0,0.1320234814903558,0.124939,1.9409635327328667,3.3531156128919615
4,749.0,0.08973283814544147,0.09691,2.198002744170867,4.436773930818949
5,734.0,0.08793578531208818,0.0791812,2.9418522592826553,8.079407119321267
6,493.0,0.059063136456211814,0.0669468,2.859978119666039,7.7491979202247725
7,395.0,0.04732239127830358,0.0579919,4.147186009208841,16.385206578446038
8,357.0,0.04276985743380855,0.0511525,3.4514368809020652,11.466356654873234
9,340.0,0.04073319755600815,0.0457575,2.170558581784766,4.6048943847788895
