digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,254.0,0.29952830188679247,0.30103,0.057902130690603404,0.00635259756596713
2,154.0,0.18160377358490565,0.176091,0.3763854913526088,0.14635211546002808
3,108.0,0.12735849056603774,0.124939,0.16115711851918116,0.039732481771708815
4,133.0,0.15683962264150944,0.09691,5.841113627333677,31.427536891143905
5,57.0,0.06721698113207547,0.0791812,1.2266927169820612,1.5330011175054397
6,54.0,0.06367924528301887,0.0669468,0.31201779862738543,0.1352420567755125
7,27.0,0.031839622641509434,0.0579919,3.184878672001002,10.001094741817989
8,23.0,0.027122641509433963,0.0511525,3.098334210859913,9.572633126767627
9,38.0,0.04481132075471698,0.0457575,0.04968964439630371,0.016591299333339526
