digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,2841.0,0.3192134831460674,0.30103,3.728155762904722,9.775396565051704
2,1468.0,0.1649438202247191,0.176091,2.746992699789554,6.2803356831845
3,1158.0,0.1301123595505618,0.124939,1.4600156163726767,1.906502184670626
4,759.0,0.0852808988764045,0.09691,3.6905253385181407,12.419774400897836
5,671.0,0.07539325842696629,0.0791812,1.3037994377553053,1.6127775546516325
6,615.0,0.06910112359550562,0.0669468,0.7919762220630315,0.6169955901096875
7,542.0,0.06089887640449438,0.0579919,1.1506685745982015,1.2968975868173798
8,441.0,0.04955056179775281,0.0511525,0.6619192100837719,0.44649300491644756
9,405.0,0.04550561797752809,0.0457575,0.0883548296876666,0.012340196118153051
