digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,11414.0,0.25752447994224087,0.30103,19.96214719938051,278.67518609619464
2,7001.0,0.15795767339018998,0.176091,10.016331478625647,82.76317778422509
3,6557.0,0.14794007490636704,0.124939,14.637825791108453,187.67982442000263
4,4462.0,0.100672352330671,0.09691,2.6694093350011676,6.473955088783412
5,3424.0,0.07725283155092279,0.0791812,1.494697996047913,2.0815042622152724
6,2891.0,0.0652272009385858,0.0669468,1.438998271485287,1.9576900127988093
7,2624.0,0.05920310455304364,0.0579919,1.0808171730647684,1.1212100992193588
8,2617.0,0.05904516944181219,0.0511525,7.5314875432973025,53.97595235296444
9,3332.0,0.07517711294616669,0.0457575,29.629173940523657,838.3608135767888
