digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,2604.0,0.3051681706316653,0.30103,0.8215454483334433,0.48541004071500793
2,1525.0,0.178717918668698,0.176091,0.6228625907995725,0.3343935098184672
3,967.0,0.11332473924762686,0.124939,3.228327816094056,9.212698626915337
4,913.0,0.10699636704558772,0.09691,3.131161492004971,8.95782736478783
5,758.0,0.08883159498417907,0.0791812,3.2813519276465395,10.036212415968135
6,511.0,0.05988515176374077,0.0669468,2.5883328329894195,6.356002845684253
7,396.0,0.04640806281495371,0.0579919,4.555015995000826,19.744188891410666
8,408.0,0.047814367748740184,0.0511525,1.3750917062514714,1.858839784316411
9,451.0,0.05285362709480839,0.0457575,3.1110763926630254,9.390359689446187
