digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,129.0,0.45263157894736844,0.30103,5.514890382889281,21.759180283395416
2,53.0,0.18596491228070175,0.176091,0.3598694004850141,0.15779245368697417
3,27.0,0.09473684210526316,0.124939,1.4524544131274806,2.0807637913470174
4,29.0,0.10175438596491228,0.09691,0.17633198480294607,0.0690166286498418
5,8.0,0.028070175438596492,0.0791812,3.085814932445061,9.402686458896452
6,10.0,0.03508771929824561,0.0669468,2.0334736212563977,4.320972646950356
7,12.0,0.042105263157894736,0.0579919,1.020757973346445,1.2403420235168503
8,9.0,0.031578947368421054,0.0511525,1.3654574743124974,2.1346039655352023
9,8.0,0.028070175438596492,0.0457575,1.2872348543936576,1.948528946949067
