digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,2648.0,0.2935047661272445,0.30103,1.5467745923955485,1.6972000954837432
2,1536.0,0.17025049878075815,0.176091,1.4426223700165457,1.7476960345873054
3,1031.0,0.11427621369984482,0.124939,3.0471286975671514,8.21005767135973
4,951.0,0.10540900022168034,0.09691,2.7109919471189037,6.724653482798506
5,847.0,0.0938816227000665,0.0791812,5.151607141547406,24.622967338863383
6,611.0,0.06772334293948126,0.0669468,0.27405804595848576,0.08126507687200572
7,518.0,0.05741520727111505,0.0579919,0.21183872725390673,0.051739763156871905
8,456.0,0.050543116825537575,0.0511525,0.2388364458592084,0.06549631655606405
9,424.0,0.04699623143427178,0.0457575,0.5378856025093592,0.3025483935690275
