digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,388.0,0.5527065527065527,0.30103,14.495938876178876,147.71100289653003
2,136.0,0.19373219373219372,0.176091,1.177579389766683,1.2406688862028588
3,48.0,0.06837606837606838,0.124939,4.475369020663563,17.976407640474804
4,19.0,0.027065527065527065,0.09691,6.191548224852367,35.33723847327431
5,22.0,0.03133903133903134,0.0791812,4.624524784665566,20.292555780078718
6,13.0,0.018518518518518517,0.0669468,5.05841843108401,24.592654316102053
7,28.0,0.039886039886039885,0.0579919,1.9717292617708406,3.9683328821324504
8,19.0,0.027065527065527065,0.0511525,2.811145818807517,7.962229610136632
9,29.0,0.04131054131054131,0.0457575,0.4735487379905334,0.3033898266556959
