digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,2832.0,0.3367419738406659,0.30103,7.127776650369831,35.62984448648227
2,1304.0,0.15505350772889417,0.176091,5.0507362240923825,21.137166815385257
3,1087.0,0.12925089179548158,0.124939,1.179418373702514,1.2515081383592568
4,748.0,0.08894173602853746,0.09691,2.451655127606857,5.510040969415095
5,551.0,0.06551724137931035,0.0791812,4.62043253068417,19.83019536494014
6,600.0,0.0713436385255648,0.0669468,1.5915046274630744,2.428550874086318
7,579.0,0.06884661117717003,0.0579919,4.235649766638306,17.08697572180857
8,385.0,0.045778834720570746,0.0511525,2.212102532735118,4.747558818869817
9,324.0,0.03852556480380499,0.0457575,3.1477987098602296,9.6126417963245
