digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,983.0,0.2896287566293459,0.30103,1.4293077932601632,1.4655697480218741
2,628.0,0.1850324101355333,0.176091,1.3450508016286236,1.5409434827953035
3,568.0,0.16735415439010018,0.124939,7.44728118083891,48.87152788681599
4,308.0,0.09074837949322334,0.09691,1.1843806852376504,1.3296371407779075
5,266.0,0.07837360047142015,0.0791812,0.1424578592572038,0.02795644033079427
6,252.0,0.07424867413081909,0.0669468,1.6677096855841518,2.703028966298185
7,149.0,0.043901001767825576,0.0579919,3.4755153151945946,11.620420846469088
8,137.0,0.04036535061873895,0.0511525,2.8135782038241364,7.720729905278064
9,103.0,0.030347672362993516,0.0457575,4.255213210980731,17.61347761133873
