digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,3582.0,0.3039972842230332,0.30103,0.692145517585467,0.34463897819107886
2,1721.0,0.14605787999660527,0.176091,8.546851045710197,60.355884770832546
3,1456.0,0.12356785199015531,0.124939,0.4362056344680238,0.177307263617677
4,1019.0,0.08648052278706611,0.09691,3.811273043358414,13.225508021054239
5,760.0,0.06449970296189425,0.0791812,5.884954249608276,32.07557733733702
6,713.0,0.060510905541882376,0.0669468,2.776807710126552,7.290274511702606
7,828.0,0.07027072901637953,0.0579919,5.682905565017414,30.63391080210994
8,785.0,0.06662140371721972,0.0511525,7.600862015799294,55.119857512560166
9,919.0,0.07799371976576423,0.0457575,16.723973338829275,267.597347949103
