digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,1523.0,0.3420934411500449,0.30103,5.9567494393838265,24.93768062425143
2,567.0,0.12735849056603774,0.176091,8.516989634386096,60.04205485774626
3,654.0,0.14690026954177898,0.124939,4.409000820769306,17.185889483791687
4,446.0,0.10017969451931716,0.09691,0.7121235808160539,0.4911350409189343
5,306.0,0.06873315363881402,0.0791812,2.5540001083433697,6.137666101953096
6,289.0,0.06491464510332434,0.0669468,0.5125377004435411,0.27462429106719044
7,198.0,0.0444743935309973,0.0579919,3.826835585367963,14.027523016717618
8,331.0,0.0743486073674753,0.0511525,6.991223847530388,46.829391241079584
9,138.0,0.03099730458221024,0.0457575,4.677265442385055,21.197130913402468
