digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,1529.0,0.34344115004492365,0.30103,6.152787101767035,26.601460138485262
2,645.0,0.14487870619946092,0.176091,5.447905306491945,24.630281102749663
3,690.0,0.15498652291105122,0.124939,6.04076256044485,32.17173480272242
4,414.0,0.09299191374663072,0.09691,0.8583632628268022,0.7052361191324019
5,268.0,0.06019766397124888,0.0791812,4.663152163123327,20.26223267605919
6,255.0,0.05727762803234501,0.0669468,2.5513780712402374,6.217329743564419
7,142.0,0.03189577717879605,0.0579919,7.417703757984217,52.2805073171384
8,335.0,0.07524707996406109,0.0511525,7.263337776265183,50.527406965162335
9,174.0,0.03908355795148248,0.0457575,2.0952169094933453,4.333688881231524
