digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,1400.0,0.31446540880503143,0.30103,1.9379773605281345,2.669605866006783
2,554.0,0.12443845462713388,0.176091,9.02850368903512,67.45302823224449
3,784.0,0.1761006289308176,0.124939,10.301473769597653,93.27083334789782
4,470.0,0.10557053009883198,0.09691,1.9279843629911677,3.4456845284391058
5,341.0,0.0765947888589398,0.0791812,0.6113600578881478,0.3761215360887746
6,293.0,0.06581311769991015,0.0669468,0.272674127408635,0.08546889025546786
7,139.0,0.031221922731356693,0.0579919,7.6100716958029455,55.01534270396901
8,273.0,0.06132075471698113,0.0511525,3.0455718808758045,8.998728010573279
9,198.0,0.0444743935309973,0.0457575,0.3738512208988732,0.16018367617256854
