digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,1383.0,0.3106469002695418,0.30103,1.3825373171090576,1.3677779609217617
2,753.0,0.16913746630727763,0.176091,1.1984039294077349,1.2224444201694233
3,698.0,0.15678346810422283,0.124939,6.403376280372749,36.13475618213311
4,301.0,0.06761006289308176,0.09691,6.583041112234633,39.43845910656907
5,287.0,0.06446540880503145,0.0791812,3.608576135733349,12.175878626730897
6,283.0,0.06356693620844564,0.0669468,0.8723330599958984,0.7596678200988967
7,201.0,0.04514824797843666,0.0579919,3.6344676475492337,12.66382437136028
8,286.0,0.06424079065588499,0.0511525,3.9299421492638986,14.909193576230088
9,260.0,0.05840071877807727,0.0457575,4.001286570945412,15.552785176748946
