digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,3375.0,0.35740760351583184,0.30103,11.932168343018892,99.7041954111963
2,1709.0,0.18098062056549824,0.176091,1.2339380727220983,1.2821036845694076
3,1008.0,0.1067457375833951,0.124939,5.331281290389786,25.016879208776007
4,808.0,0.08556602774541988,0.09691,3.7088431982289793,12.539254221435062
5,554.0,0.05866779625119136,0.0791812,7.36329402350022,50.183779509958555
6,404.0,0.04278301387270994,0.0669468,9.37452268667694,82.35882330643345
7,508.0,0.053796462988457056,0.0579919,1.722285870895245,2.8661377690921617
8,514.0,0.054431854283596315,0.0511525,1.4231223433595588,1.985271013875292
9,563.0,0.05962088319390024,0.0457575,6.422465754365102,39.66305448472025
