digit,count,empirical,benford,ZScore,Chi Square
0,0.0,0.0,0.0,NaN,NaN
1,2407.0,0.2861388492629577,0.30103,2.965560263410972,6.196493594456161
2,1502.0,0.1785544460294817,0.176091,0.5788648520436056,0.28989999519284304
3,1052.0,0.12505943889681406,0.124939,0.016920425885210394,9.766406038710697E-4
4,817.0,0.09712315739419876,0.09691,0.04765691758857192,0.0039439506799085
5,748.0,0.08892058963385639,0.0791812,3.2879458068997467,10.077218281888452
6,654.0,0.07774607703281027,0.0669468,3.941207070192468,14.654088348312348
7,465.0,0.05527817403708987,0.0579919,1.0415653779158067,1.0682278724806438
8,400.0,0.0475511174512601,0.0511525,1.4745504599957473,2.132902049343469
9,367.0,0.04362815026153115,0.0457575,0.9085330898779296,0.8335486894373706
