country;variable;percentile;year;value;age;pop
AE;xlcyux999i;p0p100;1966;1.9343094;999;i
AE;xlcyux999i;p0p100;1967;1.9343094;999;i
AE;xlcyux999i;p0p100;1968;1.9343094;999;i
AE;xlcyux999i;p0p100;1969;1.9343094;999;i
AE;xlcyux999i;p0p100;1970;1.9343094;999;i
AE;xlcyux999i;p0p100;1971;1.928648;999;i
AE;xlcyux999i;p0p100;1972;1.9536071;999;i
AE;xlcyux999i;p0p100;1973;2.0087667;999;i
AE;xlcyux999i;p0p100;1974;2.0187807;999;i
AE;xlcyux999i;p0p100;1975;2.1299255;999;i
AE;xlcyux999i;p0p100;1976;2.0361807;999;i
AE;xlcyux999i;p0p100;1977;2.1009789;999;i
AE;xlcyux999i;p0p100;1978;2.2993793;999;i
AE;xlcyux999i;p0p100;1979;2.4539073;999;i
AE;xlcyux999i;p0p100;1980;2.4742389;999;i
AE;xlcyux999i;p0p100;1981;2.1536582;999;i
AE;xlcyux999i;p0p100;1982;1.9397196;999;i
AE;xlcyux999i;p0p100;1983;1.8580991;999;i
AE;xlcyux999i;p0p100;1984;1.5822992;999;i
AE;xlcyux999i;p0p100;1985;1.2500603;999;i
AE;xlcyux999i;p0p100;1986;1.0631976;999;i
AE;xlcyux999i;p0p100;1987;0.9862712;999;i
AE;xlcyux999i;p0p100;1988;0.9862712;999;i
AE;xlcyux999i;p0p100;1989;0.97500515;999;i
AE;xlcyux999i;p0p100;1990;0.7674765;999;i
AE;xlcyux999i;p0p100;1991;0.68959796;999;i
AE;xlcyux999i;p0p100;1992;0.66568846;999;i
AE;xlcyux999i;p0p100;1993;0.63710982;999;i
AE;xlcyux999i;p0p100;1994;0.4259322;999;i
AE;xlcyux999i;p0p100;1995;0.43956614;999;i
AE;xlcyux999i;p0p100;1996;0.44153512;999;i
AE;xlcyux999i;p0p100;1997;0.44284752;999;i
AE;xlcyux999i;p0p100;1998;0.44359446;999;i
AE;xlcyux999i;p0p100;1999;0.44363242;999;i
AE;xlcyux999i;p0p100;2000;0.44361877;999;i
AE;xlcyux999i;p0p100;2001;0.44369575;999;i
AE;xlcyux999i;p0p100;2002;0.44370168;999;i
AE;xlcyux999i;p0p100;2003;0.44369742;999;i
AE;xlcyux999i;p0p100;2004;0.44371006;999;i
AE;xlcyux999i;p0p100;2005;0.44817644;999;i
AE;xlcyux999i;p0p100;2006;0.46059176;999;i
AE;xlcyux999i;p0p100;2007;0.4827452;999;i
AE;xlcyux999i;p0p100;2008;0.52851951;999;i
AE;xlcyux999i;p0p100;2009;0.53758985;999;i
AE;xlcyux999i;p0p100;2010;0.54244518;999;i
AE;xlcyux999i;p0p100;2011;0.56836987;999;i
AE;xlcyux999i;p0p100;2012;0.5817976;999;i
AE;xlcyux999i;p0p100;2013;0.59274423;999;i
AE;xlcyux999i;p0p100;2014;0.59779269;999;i
AE;xlcyux999i;p0p100;2015;0.58972406;999;i
AE;xlcyux999i;p0p100;2016;0.55271459;999;i
AE;xlcyux999i;p0p100;2017;0.54336929;999;i
AE;xlcyux999i;p0p100;2018;0.57529718;999;i
AE;xlcyup999i;p0p100;1970;0.31640992;999;i
AE;xlcyup999i;p0p100;1971;0.36568865;999;i
AE;xlcyup999i;p0p100;1972;0.44306865;999;i
AE;xlcyup999i;p0p100;1973;0.67058235;999;i
AE;xlcyup999i;p0p100;1974;1.5871899;999;i
AE;xlcyup999i;p0p100;1975;1.8717797;999;i
AE;xlcyup999i;p0p100;1976;2.0346403;999;i
AE;xlcyup999i;p0p100;1977;2.1861308;999;i
AE;xlcyup999i;p0p100;1978;2.0726268;999;i
AE;xlcyup999i;p0p100;1979;2.0497751;999;i
AE;xlcyup999i;p0p100;1980;2.067965;999;i
AE;xlcyup999i;p0p100;1981;2.2214341;999;i
AE;xlcyup999i;p0p100;1982;2.2568107;999;i
AE;xlcyup999i;p0p100;1983;2.1580596;999;i
AE;xlcyup999i;p0p100;1984;2.0469091;999;i
AE;xlcyup999i;p0p100;1985;1.9899068;999;i
AE;xlcyup999i;p0p100;1986;1.9454008;999;i
AE;xlcyup999i;p0p100;1987;1.8342881;999;i
AE;xlcyup999i;p0p100;1988;1.6207309;999;i
AE;xlcyup999i;p0p100;1989;1.376762;999;i
AE;xlcyup999i;p0p100;1990;1.261777;999;i
AE;xlcyup999i;p0p100;1991;1.2266444;999;i
AE;xlcyup999i;p0p100;1992;1.1399941;999;i
AE;xlcyup999i;p0p100;1993;0.90993339;999;i
AE;xlcyup999i;p0p100;1994;0.70508915;999;i
AE;xlcyup999i;p0p100;1995;0.60311246;999;i
AE;xlcyup999i;p0p100;1996;0.57727474;999;i
AE;xlcyup999i;p0p100;1997;0.53467244;999;i
AE;xlcyup999i;p0p100;1998;0.50156331;999;i
AE;xlcyup999i;p0p100;1999;0.53012705;999;i
AE;xlcyup999i;p0p100;2000;0.54671419;999;i
AE;xlcyup999i;p0p100;2001;0.52459669;999;i
AE;xlcyup999i;p0p100;2002;0.54409802;999;i
AE;xlcyup999i;p0p100;2003;0.54736233;999;i
AE;xlcyup999i;p0p100;2004;0.55695128;999;i
AE;xlcyup999i;p0p100;2005;0.62256062;999;i
AE;xlcyup999i;p0p100;2006;0.6741575;999;i
AE;xlcyup999i;p0p100;2007;0.70560497;999;i
AE;xlcyup999i;p0p100;2008;0.77582836;999;i
AE;xlcyup999i;p0p100;2009;0.66758001;999;i
AE;xlcyup999i;p0p100;2010;0.69313115;999;i
AE;xlcyup999i;p0p100;2011;0.7257973;999;i
AE;xlcyup999i;p0p100;2012;0.73109525;999;i
AE;xlcyup999i;p0p100;2013;0.71100831;999;i
AE;xlcyup999i;p0p100;2014;0.70056045;999;i
AE;xlcyup999i;p0p100;2015;0.59598011;999;i
AE;xlcyup999i;p0p100;2016;0.58045518;999;i
AE;xlcyup999i;p0p100;2017;0.62085742;999;i
AE;xlcyup999i;p0p100;2018;0.66676402;999;i
AE;xlcusx999i;p0p100;1966;4.7618999;999;i
AE;xlcusx999i;p0p100;1967;4.7618999;999;i
AE;xlcusx999i;p0p100;1968;4.7618999;999;i
AE;xlcusx999i;p0p100;1969;4.7618999;999;i
AE;xlcusx999i;p0p100;1970;4.7618999;999;i
AE;xlcusx999i;p0p100;1971;4.747963;999;i
AE;xlcusx999i;p0p100;1972;4.3859777;999;i
AE;xlcusx999i;p0p100;1973;3.9962714;999;i
AE;xlcusx999i;p0p100;1974;3.9590452;999;i
AE;xlcusx999i;p0p100;1975;3.9612851;999;i
AE;xlcusx999i;p0p100;1976;3.9530725;999;i
AE;xlcusx999i;p0p100;1977;3.9032476;999;i
AE;xlcusx999i;p0p100;1978;3.8712108;999;i
AE;xlcusx999i;p0p100;1979;3.8156757;999;i
AE;xlcusx999i;p0p100;1980;3.707365;999;i
AE;xlcusx999i;p0p100;1981;3.671;999;i
AE;xlcusx999i;p0p100;1982;3.671;999;i
AE;xlcusx999i;p0p100;1983;3.671;999;i
AE;xlcusx999i;p0p100;1984;3.671;999;i
AE;xlcusx999i;p0p100;1985;3.671;999;i
AE;xlcusx999i;p0p100;1986;3.671;999;i
AE;xlcusx999i;p0p100;1987;3.671;999;i
AE;xlcusx999i;p0p100;1988;3.671;999;i
AE;xlcusx999i;p0p100;1989;3.671;999;i
AE;xlcusx999i;p0p100;1990;3.671;999;i
AE;xlcusx999i;p0p100;1991;3.671;999;i
AE;xlcusx999i;p0p100;1992;3.671;999;i
AE;xlcusx999i;p0p100;1993;3.671;999;i
AE;xlcusx999i;p0p100;1994;3.671;999;i
AE;xlcusx999i;p0p100;1995;3.671;999;i
AE;xlcusx999i;p0p100;1996;3.671;999;i
