country;variable;percentile;year;value;age;pop
AG;xlcyux999i;p0p100;1960;0.69635379;999;i
AG;xlcyux999i;p0p100;1961;0.69635379;999;i
AG;xlcyux999i;p0p100;1962;0.69635379;999;i
AG;xlcyux999i;p0p100;1963;0.69635379;999;i
AG;xlcyux999i;p0p100;1964;0.69635379;999;i
AG;xlcyux999i;p0p100;1965;0.69635379;999;i
AG;xlcyux999i;p0p100;1966;0.69635379;999;i
AG;xlcyux999i;p0p100;1967;0.71569663;999;i
AG;xlcyux999i;p0p100;1968;0.81241071;999;i
AG;xlcyux999i;p0p100;1969;0.81241071;999;i
AG;xlcyux999i;p0p100;1970;0.81241071;999;i
AG;xlcyux999i;p0p100;1971;0.80220389;999;i
AG;xlcyux999i;p0p100;1972;0.85577786;999;i
AG;xlcyux999i;p0p100;1973;0.9848215;999;i
AG;xlcyux999i;p0p100;1974;1.0469762;999;i
AG;xlcyux999i;p0p100;1975;1.1666677;999;i
AG;xlcyux999i;p0p100;1976;1.3467859;999;i
AG;xlcyux999i;p0p100;1977;1.4533136;999;i
AG;xlcyux999i;p0p100;1978;1.6037164;999;i
AG;xlcyux999i;p0p100;1979;1.7364026;999;i
AG;xlcyux999i;p0p100;1980;1.8019389;999;i
AG;xlcyux999i;p0p100;1981;1.5840036;999;i
AG;xlcyux999i;p0p100;1982;1.4266529;999;i
AG;xlcyux999i;p0p100;1983;1.3666216;999;i
AG;xlcyux999i;p0p100;1984;1.1637722;999;i
AG;xlcyux999i;p0p100;1985;0.91941237;999;i
AG;xlcyux999i;p0p100;1986;0.78197592;999;i
AG;xlcyux999i;p0p100;1987;0.72539699;999;i
AG;xlcyux999i;p0p100;1988;0.72539699;999;i
AG;xlcyux999i;p0p100;1989;0.71711087;999;i
AG;xlcyux999i;p0p100;1990;0.5644747;999;i
AG;xlcyux999i;p0p100;1991;0.50719547;999;i
AG;xlcyux999i;p0p100;1992;0.48961014;999;i
AG;xlcyux999i;p0p100;1993;0.46859071;999;i
AG;xlcyux999i;p0p100;1994;0.31327075;999;i
AG;xlcyux999i;p0p100;1995;0.32329845;999;i
AG;xlcyux999i;p0p100;1996;0.32474661;999;i
AG;xlcyux999i;p0p100;1997;0.32570082;999;i
AG;xlcyux999i;p0p100;1998;0.32612801;999;i
AG;xlcyux999i;p0p100;1999;0.3261559;999;i
AG;xlcyux999i;p0p100;2000;0.32614589;999;i
AG;xlcyux999i;p0p100;2001;0.32620248;999;i
AG;xlcyux999i;p0p100;2002;0.32620683;999;i
AG;xlcyux999i;p0p100;2003;0.3262037;999;i
AG;xlcyux999i;p0p100;2004;0.326213;999;i
AG;xlcyux999i;p0p100;2005;0.32949665;999;i
AG;xlcyux999i;p0p100;2006;0.3386243;999;i
AG;xlcyux999i;p0p100;2007;0.35491142;999;i
AG;xlcyux999i;p0p100;2008;0.38856441;999;i
AG;xlcyux999i;p0p100;2009;0.39523286;999;i
AG;xlcyux999i;p0p100;2010;0.39880249;999;i
AG;xlcyux999i;p0p100;2011;0.41786212;999;i
AG;xlcyux999i;p0p100;2012;0.42773411;999;i
AG;xlcyux999i;p0p100;2013;0.43578202;999;i
AG;xlcyux999i;p0p100;2014;0.43949363;999;i
AG;xlcyux999i;p0p100;2015;0.43356162;999;i
AG;xlcyux999i;p0p100;2016;0.40635249;999;i
AG;xlcyux999i;p0p100;2017;0.39948186;999;i
AG;xlcyux999i;p0p100;2018;0.42114472;999;i
AG;xlcyup999i;p0p100;1970;0.4945567;999;i
AG;xlcyup999i;p0p100;1971;0.53487945;999;i
