country;variable;percentile;year;value;age;pop
AI;xlcyux999i;p0p100;2018;0.42114472;999;i
AI;xlcusx999i;p0p100;2018;2.6882;999;i
AI;xlceux999i;p0p100;2018;3.2952642;999;i
AI;npopul999i;p0p100;1950;5118.0;999;i
AI;npopul999i;p0p100;1951;5317.0;999;i
AI;npopul999i;p0p100;1952;5483.0;999;i
AI;npopul999i;p0p100;1953;5609.0;999;i
AI;npopul999i;p0p100;1954;5708.0;999;i
AI;npopul999i;p0p100;1955;5783.0;999;i
AI;npopul999i;p0p100;1956;5851.0;999;i
AI;npopul999i;p0p100;1957;5898.0;999;i
AI;npopul999i;p0p100;1958;5939.0;999;i
AI;npopul999i;p0p100;1959;5984.0;999;i
AI;npopul999i;p0p100;1960;6032.0;999;i
AI;npopul999i;p0p100;1961;6089.0;999;i
AI;npopul999i;p0p100;1962;6144.0;999;i
AI;npopul999i;p0p100;1963;6211.0;999;i
AI;npopul999i;p0p100;1964;6287.0;999;i
AI;npopul999i;p0p100;1965;6361.0;999;i
AI;npopul999i;p0p100;1966;6438.0;999;i
AI;npopul999i;p0p100;1967;6520.0;999;i
AI;npopul999i;p0p100;1968;6602.0;999;i
AI;npopul999i;p0p100;1969;6680.0;999;i
AI;npopul999i;p0p100;1970;6771.0;999;i
AI;npopul999i;p0p100;1971;6858.0;999;i
AI;npopul999i;p0p100;1972;6948.0;999;i
AI;npopul999i;p0p100;1973;7028.0;999;i
AI;npopul999i;p0p100;1974;7102.0;999;i
AI;npopul999i;p0p100;1975;7159.0;999;i
AI;npopul999i;p0p100;1976;7206.0;999;i
AI;npopul999i;p0p100;1977;7255.0;999;i
AI;npopul999i;p0p100;1978;7284.0;999;i
AI;npopul999i;p0p100;1979;7292.0;999;i
AI;npopul999i;p0p100;1980;7285.0;999;i
AI;npopul999i;p0p100;1981;7247.0;999;i
AI;npopul999i;p0p100;1982;7190.0;999;i
AI;npopul999i;p0p100;1983;7153.0;999;i
AI;npopul999i;p0p100;1984;7173.0;999;i
AI;npopul999i;p0p100;1985;7293.0;999;i
AI;npopul999i;p0p100;1986;7518.0;999;i
AI;npopul999i;p0p100;1987;7842.0;999;i
AI;npopul999i;p0p100;1988;8213.0;999;i
AI;npopul999i;p0p100;1989;8582.0;999;i
AI;npopul999i;p0p100;1990;8899.0;999;i
AI;npopul999i;p0p100;1991;9135.0;999;i
AI;npopul999i;p0p100;1992;9332.0;999;i
AI;npopul999i;p0p100;1993;9493.0;999;i
AI;npopul999i;p0p100;1994;9664.0;999;i
AI;npopul999i;p0p100;1995;9866.0;999;i
AI;npopul999i;p0p100;1996;10117.0;999;i
AI;npopul999i;p0p100;1997;10388.0;999;i
AI;npopul999i;p0p100;1998;10684.0;999;i
AI;npopul999i;p0p100;1999;10971.0;999;i
AI;npopul999i;p0p100;2000;11252.0;999;i
AI;npopul999i;p0p100;2001;11515.0;999;i
AI;npopul999i;p0p100;2002;11761.0;999;i
AI;npopul999i;p0p100;2003;12001.0;999;i
AI;npopul999i;p0p100;2004;12233.0;999;i
AI;npopul999i;p0p100;2005;12453.0;999;i
AI;npopul999i;p0p100;2006;12661.0;999;i
AI;npopul999i;p0p100;2007;12868.0;999;i
AI;npopul999i;p0p100;2008;13063.0;999;i
AI;npopul999i;p0p100;2009;13258.0;999;i
AI;npopul999i;p0p100;2010;13438.0;999;i
AI;npopul999i;p0p100;2011;13620.0;999;i
AI;npopul999i;p0p100;2012;13795.0;999;i
AI;npopul999i;p0p100;2013;13954.0;999;i
AI;npopul999i;p0p100;2014;14112.0;999;i
AI;npopul999i;p0p100;2015;14279.0;999;i
AI;npopul999i;p0p100;2016;14429.0;999;i
AI;npopul999i;p0p100;2017;14584.0;999;i
AI;npopul999i;p0p100;2018;14731.0;999;i
AI;mnnfin999i;p0p100;1990;-23785242.0;999;i
AI;mnnfin999i;p0p100;1991;-17782034.0;999;i
AI;mnnfin999i;p0p100;1992;-27599502.0;999;i
AI;mnnfin999i;p0p100;1993;-31384828.0;999;i
AI;mnnfin999i;p0p100;1994;-35364012.0;999;i
AI;mnnfin999i;p0p100;1995;-26945550.0;999;i
AI;mnnfin999i;p0p100;1996;-21799120.0;999;i
AI;mnnfin999i;p0p100;1997;-12562777.0;999;i
AI;mnnfin999i;p0p100;1998;-11751386.0;999;i
AI;mnnfin999i;p0p100;1999;-15388590.0;999;i
AI;mnnfin999i;p0p100;2000;-30539978.0;999;i
AI;mnnfin999i;p0p100;2001;-23869078.0;999;i
AI;mnnfin999i;p0p100;2002;-18086608.0;999;i
AI;mnnfin999i;p0p100;2003;-16222135.0;999;i
AI;mnnfin999i;p0p100;2004;5194923.0;999;i
AI;mnnfin999i;p0p100;2005;16342639.0;999;i
AI;mnnfin999i;p0p100;2006;28520212.0;999;i
AI;mnnfin999i;p0p100;2007;10455619.0;999;i
AI;mnnfin999i;p0p100;2008;-16194841.0;999;i
AI;mnnfin999i;p0p100;2009;-14718185.0;999;i
AI;mnnfin999i;p0p100;2010;10049747.0;999;i
AI;mnnfin999i;p0p100;2011;1207321.0;999;i
AI;mnnfin999i;p0p100;2012;-3513574.0;999;i
AI;mnnfin999i;p0p100;2013;-3148494.0;999;i
AI;mnnfin999i;p0p100;2014;-16254185.0;999;i
AI;mnnfin999i;p0p100;2015;-12573749.0;999;i
AI;mnnfin999i;p0p100;2016;-2669406.0;999;i
AI;mnnfin999i;p0p100;2017;-3487088.0;999;i
AI;mnnfin999i;p0p100;2018;-3580604.0;999;i
AI;mgdpro999i;p0p100;1970;99223215.0;999;i
AI;mgdpro999i;p0p100;1971;96744054.0;999;i
AI;mgdpro999i;p0p100;1972;107906837.0;999;i
AI;mgdpro999i;p0p100;1973;112416323.0;999;i
AI;mgdpro999i;p0p100;1974;112189542.0;999;i
AI;mgdpro999i;p0p100;1975;116028303.0;999;i
AI;mgdpro999i;p0p100;1976;117827745.0;999;i
AI;mgdpro999i;p0p100;1977;118049672.0;999;i
AI;mgdpro999i;p0p100;1978;126842387.0;999;i
AI;mgdpro999i;p0p100;1979;138906977.0;999;i
AI;mgdpro999i;p0p100;1980;145673305.0;999;i
AI;mgdpro999i;p0p100;1981;151093880.0;999;i
AI;mgdpro999i;p0p100;1982;149403358.0;999;i
AI;mgdpro999i;p0p100;1983;149525818.0;999;i
AI;mgdpro999i;p0p100;1984;156179020.0;999;i
AI;mgdpro999i;p0p100;1985;176260960.0;999;i
AI;mgdpro999i;p0p100;1986;198732672.0;999;i
AI;mgdpro999i;p0p100;1987;219869285.0;999;i
AI;mgdpro999i;p0p100;1988;254080715.0;999;i
AI;mgdpro999i;p0p100;1989;275681565.0;999;i
AI;mgdpro999i;p0p100;1990;345990293.0;999;i
AI;mgdpro999i;p0p100;1991;283141086.0;999;i
AI;mgdpro999i;p0p100;1992;364414703.0;999;i
AI;mgdpro999i;p0p100;1993;391475049.0;999;i
AI;mgdpro999i;p0p100;1994;422816932.0;999;i
AI;mgdpro999i;p0p100;1995;413005330.0;999;i
AI;mgdpro999i;p0p100;1996;423358396.0;999;i
AI;mgdpro999i;p0p100;1997;468607448.0;999;i
AI;mgdpro999i;p0p100;1998;516915380.0;999;i
AI;mgdpro999i;p0p100;1999;535974784.0;999;i
AI;mgdpro999i;p0p100;2000;542798715.0;999;i
AI;mgdpro999i;p0p100;2001;555898459.0;999;i
AI;mgdpro999i;p0p100;2002;534738978.0;999;i
AI;mgdpro999i;p0p100;2003;564952631.0;999;i
AI;mgdpro999i;p0p100;2004;644766498.0;999;i
AI;mgdpro999i;p0p100;2005;729445294.0;999;i
AI;mgdpro999i;p0p100;2006;877375256.0;999;i
AI;mgdpro999i;p0p100;2007;994395827.0;999;i
AI;mgdpro999i;p0p100;2008;979944488.0;999;i
AI;mgdpro999i;p0p100;2009;799565622.0;999;i
AI;mgdpro999i;p0p100;2010;763954756.0;999;i
AI;mgdpro999i;p0p100;2011;795174540.0;999;i
AI;mgdpro999i;p0p100;2012;744639176.0;999;i
AI;mgdpro999i;p0p100;2013;739732834.0;999;i
AI;mgdpro999i;p0p100;2014;777210209.0;999;i
AI;mgdpro999i;p0p100;2015;801669361.0;999;i
AI;mgdpro999i;p0p100;2016;790959524.0;999;i
AI;mgdpro999i;p0p100;2017;729707962.0;999;i
AI;mgdpro999i;p0p100;2018;673199872.0;999;i
AI;inyixx999i;p0p100;1970;0.078791395;999;i
AI;inyixx999i;p0p100;1971;0.093196467;999;i
AI;inyixx999i;p0p100;1972;0.096474878;999;i
AI;inyixx999i;p0p100;1973;0.10681793;999;i
AI;inyixx999i;p0p100;1974;0.1235291;999;i
AI;inyixx999i;p0p100;1975;0.13785021;999;i
AI;inyixx999i;p0p100;1976;0.15663958;999;i
AI;inyixx999i;p0p100;1977;0.18044531;999;i
AI;inyixx999i;p0p100;1978;0.19377327;999;i
AI;inyixx999i;p0p100;1979;0.20417471;999;i
AI;inyixx999i;p0p100;1980;0.22468637;999;i
AI;inyixx999i;p0p100;1981;0.2499693;999;i
AI;inyixx999i;p0p100;1982;0.29172474;999;i
AI;inyixx999i;p0p100;1983;0.33638814;999;i
AI;inyixx999i;p0p100;1984;0.37386689;999;i
AI;inyixx999i;p0p100;1985;0.41552848;999;i
AI;inyixx999i;p0p100;1986;0.47638947;999;i
AI;inyixx999i;p0p100;1987;0.53706437;999;i
AI;inyixx999i;p0p100;1988;0.58172727;999;i
AI;inyixx999i;p0p100;1989;0.66721827;999;i
AI;inyixx999i;p0p100;1990;0.58997202;999;i
AI;inyixx999i;p0p100;1991;0.74113005;999;i
AI;inyixx999i;p0p100;1992;0.62570477;999;i
AI;inyixx999i;p0p100;1993;0.63522083;999;i
AI;inyixx999i;p0p100;1994;0.65626132;999;i
AI;inyixx999i;p0p100;1995;0.67817205;999;i
AI;inyixx999i;p0p100;1996;0.69860786;999;i
