country;variable;percentile;year;value;age;pop
BD;xlcyux999i;p0p100;1971;3.1963661;999;i
BD;xlcyux999i;p0p100;1972;3.4298248;999;i
BD;xlcyux999i;p0p100;1973;3.9457901;999;i
BD;xlcyux999i;p0p100;1974;4.194571;999;i
BD;xlcyux999i;p0p100;1975;6.5523319;999;i
BD;xlcyux999i;p0p100;1976;7.9319291;999;i
BD;xlcyux999i;p0p100;1977;8.2758675;999;i
BD;xlcyux999i;p0p100;1978;8.9191084;999;i
BD;xlcyux999i;p0p100;1979;10.001631;999;i
BD;xlcyux999i;p0p100;1980;10.313804;999;i
BD;xlcyux999i;p0p100;1981;10.552217;999;i
BD;xlcyux999i;p0p100;1982;11.686868;999;i
BD;xlcyux999i;p0p100;1983;12.459249;999;i
BD;xlcyux999i;p0p100;1984;10.928224;999;i
BD;xlcyux999i;p0p100;1985;9.5328045;999;i
BD;xlcyux999i;p0p100;1986;8.806468;999;i
BD;xlcyux999i;p0p100;1987;8.3151531;999;i
BD;xlcyux999i;p0p100;1988;8.52563;999;i
BD;xlcyux999i;p0p100;1989;8.5708027;999;i
BD;xlcyux999i;p0p100;1990;7.2271175;999;i
BD;xlcyux999i;p0p100;1991;6.8745995;999;i
BD;xlcyux999i;p0p100;1992;7.0632172;999;i
BD;xlcyux999i;p0p100;1993;6.866981;999;i
BD;xlcyux999i;p0p100;1994;4.6656151;999;i
BD;xlcyux999i;p0p100;1995;4.8229322;999;i
BD;xlcyux999i;p0p100;1996;5.0268569;999;i
BD;xlcyux999i;p0p100;1997;5.294703;999;i
BD;xlcyux999i;p0p100;1998;5.6656466;999;i
BD;xlcyux999i;p0p100;1999;5.9294419;999;i
BD;xlcyux999i;p0p100;2000;6.2984405;999;i
BD;xlcyux999i;p0p100;2001;6.7423229;999;i
BD;xlcyux999i;p0p100;2002;6.9938741;999;i
BD;xlcyux999i;p0p100;2003;7.025466;999;i
BD;xlcyux999i;p0p100;2004;7.1902966;999;i
BD;xlcyux999i;p0p100;2005;7.850255;999;i
BD;xlcyux999i;p0p100;2006;8.645359;999;i
BD;xlcyux999i;p0p100;2007;9.0535107;999;i
BD;xlcyux999i;p0p100;2008;9.8721657;999;i
BD;xlcyux999i;p0p100;2009;10.106114;999;i
