country;variable;percentile;year;value;age;pop
BI;tptinc992j;p91p92;1990;3153495.5;992;j
BI;tptinc992j;p91p92;1991;3332029.5;992;j
BI;tptinc992j;p91p92;1992;3376547.0;992;j
BI;tptinc992j;p91p92;1993;3095055.0;992;j
BI;tptinc992j;p91p92;1994;2973137.75;992;j
BI;tptinc992j;p91p92;1995;2720559.75;992;j
BI;tptinc992j;p91p92;1996;2420525.25;992;j
BI;tptinc992j;p91p92;1997;2401214.0;992;j
BI;tptinc992j;p91p92;1998;2487373.5;992;j
BI;tptinc992j;p91p92;1999;2467658.75;992;j
BI;tptinc992j;p91p92;2000;2421723.5;992;j
BI;tptinc992j;p91p92;2001;2422131.0;992;j
BI;tptinc992j;p91p92;2002;2470865.5;992;j
BI;tptinc992j;p91p92;2003;2338818.75;992;j
BI;tptinc992j;p91p92;2004;2342275.5;992;j
BI;tptinc992j;p91p92;2005;2312519.75;992;j
BI;tptinc992j;p91p92;2006;2380043.75;992;j
BI;tptinc992j;p91p92;2007;2357313.25;992;j
BI;tptinc992j;p91p92;2008;2357593.25;992;j
BI;tptinc992j;p91p92;2009;2312435.0;992;j
BI;tptinc992j;p91p92;2010;2331536.75;992;j
BI;tptinc992j;p91p92;2011;2338144.75;992;j
BI;tptinc992j;p91p92;2012;2371199.0;992;j
BI;tptinc992j;p91p92;2013;2411679.5;992;j
BI;tptinc992j;p91p92;2014;2417932.75;992;j
BI;tptinc992j;p91p92;2015;2327608.5;992;j
BI;tptinc992j;p91p92;2016;2316210.0;992;j
BI;tptinc992j;p91p92;2017;2236564.75;992;j
BI;tptinc992j;p91p100;1990;3153495.5;992;j
BI;tptinc992j;p91p100;1991;3332029.5;992;j
BI;tptinc992j;p91p100;1992;3376547.0;992;j
BI;tptinc992j;p91p100;1993;3095055.0;992;j
BI;tptinc992j;p91p100;1994;2973137.75;992;j
BI;tptinc992j;p91p100;1995;2720559.75;992;j
BI;tptinc992j;p91p100;1996;2420525.25;992;j
