country;variable;percentile;year;value;age;pop
BJ;tptinc992j;p9p100;1990;112376.671875;992;j
BJ;tptinc992j;p9p100;1991;114203.59375;992;j
BJ;tptinc992j;p9p100;1992;114714.78125;992;j
BJ;tptinc992j;p9p100;1993;117160.4375;992;j
BJ;tptinc992j;p9p100;1994;114767.8046875;992;j
BJ;tptinc992j;p9p100;1995;122026.6171875;992;j
BJ;tptinc992j;p9p100;1996;122163.40625;992;j
BJ;tptinc992j;p9p100;1997;125169.484375;992;j
BJ;tptinc992j;p9p100;1998;126737.3671875;992;j
BJ;tptinc992j;p9p100;1999;129540.1953125;992;j
BJ;tptinc992j;p9p100;2000;132367.4375;992;j
BJ;tptinc992j;p9p100;2001;135391.515625;992;j
BJ;tptinc992j;p9p100;2002;136509.015625;992;j
BJ;tptinc992j;p9p100;2003;135861.34375;992;j
BJ;tptinc992j;p9p100;2004;134384.546875;992;j
BJ;tptinc992j;p9p100;2005;129986.7421875;992;j
BJ;tptinc992j;p9p100;2006;128138.7109375;992;j
BJ;tptinc992j;p9p100;2007;129052.328125;992;j
BJ;tptinc992j;p9p100;2008;129665.2421875;992;j
BJ;tptinc992j;p9p100;2009;124978.109375;992;j
BJ;tptinc992j;p9p100;2010;120197.2109375;992;j
BJ;tptinc992j;p9p100;2011;117904.4609375;992;j
BJ;tptinc992j;p9p100;2012;102389.921875;992;j
BJ;tptinc992j;p9p100;2013;89361.890625;992;j
BJ;tptinc992j;p9p100;2014;74806.8671875;992;j
BJ;tptinc992j;p9p100;2015;59084.77734375;992;j
BJ;tptinc992j;p9p100;2016;60222.60546875;992;j
BJ;tptinc992j;p9p100;2017;61162.61328125;992;j
BJ;tptinc992j;p9p10;1990;112376.671875;992;j
BJ;tptinc992j;p9p10;1991;114203.59375;992;j
BJ;tptinc992j;p9p10;1992;114714.78125;992;j
BJ;tptinc992j;p9p10;1993;117160.4375;992;j
BJ;tptinc992j;p9p10;1994;114767.8046875;992;j
BJ;tptinc992j;p9p10;1995;122026.6171875;992;j
BJ;tptinc992j;p9p10;1996;122163.40625;992;j
BJ;tptinc992j;p9p10;1997;125169.484375;992;j
BJ;tptinc992j;p9p10;1998;126737.3671875;992;j
BJ;tptinc992j;p9p10;1999;129540.1953125;992;j
BJ;tptinc992j;p9p10;2000;132367.4375;992;j
BJ;tptinc992j;p9p10;2001;135391.515625;992;j
BJ;tptinc992j;p9p10;2002;136509.015625;992;j
BJ;tptinc992j;p9p10;2003;135861.34375;992;j
BJ;tptinc992j;p9p10;2004;134384.546875;992;j
BJ;tptinc992j;p9p10;2005;129986.7421875;992;j
BJ;tptinc992j;p9p10;2006;128138.7109375;992;j
BJ;tptinc992j;p9p10;2007;129052.328125;992;j
BJ;tptinc992j;p9p10;2008;129665.2421875;992;j
BJ;tptinc992j;p9p10;2009;124978.109375;992;j
BJ;tptinc992j;p9p10;2010;120197.2109375;992;j
BJ;tptinc992j;p9p10;2011;117904.4609375;992;j
BJ;tptinc992j;p9p10;2012;102389.921875;992;j
BJ;tptinc992j;p9p10;2013;89361.890625;992;j
BJ;tptinc992j;p9p10;2014;74806.8671875;992;j
BJ;tptinc992j;p9p10;2015;59084.77734375;992;j
BJ;tptinc992j;p9p10;2016;60222.60546875;992;j
BJ;tptinc992j;p9p10;2017;61162.61328125;992;j
BJ;tptinc992j;p99p99.1;1990;5725804.5;992;j
BJ;tptinc992j;p99p99.1;1991;5818889.5;992;j
BJ;tptinc992j;p99p99.1;1992;5844935.5;992;j
BJ;tptinc992j;p99p99.1;1993;5969546.5;992;j
BJ;tptinc992j;p99p99.1;1994;5847637.5;992;j
BJ;tptinc992j;p99p99.1;1995;6217487.5;992;j
BJ;tptinc992j;p99p99.1;1996;6224457.0;992;j
BJ;tptinc992j;p99p99.1;1997;6377622.5;992;j
BJ;tptinc992j;p99p99.1;1998;6457509.0;992;j
BJ;tptinc992j;p99p99.1;1999;6600318.5;992;j
BJ;tptinc992j;p99p99.1;2000;6744371.5;992;j
BJ;tptinc992j;p99p99.1;2001;6898454.5;992;j
