country;variable;percentile;year;value;age;pop
BN;xlcyux999i;p0p100;1960;1.243484;999;i
BN;xlcyux999i;p0p100;1961;1.243484;999;i
BN;xlcyux999i;p0p100;1962;1.243484;999;i
BN;xlcyux999i;p0p100;1963;1.243484;999;i
BN;xlcyux999i;p0p100;1964;1.243484;999;i
BN;xlcyux999i;p0p100;1965;1.243484;999;i
BN;xlcyux999i;p0p100;1966;1.243484;999;i
BN;xlcyux999i;p0p100;1967;1.243484;999;i
BN;xlcyux999i;p0p100;1968;1.243484;999;i
BN;xlcyux999i;p0p100;1969;1.243484;999;i
BN;xlcyux999i;p0p100;1970;1.243484;999;i
BN;xlcyux999i;p0p100;1971;1.2398446;999;i
BN;xlcyux999i;p0p100;1972;1.2558897;999;i
BN;xlcyux999i;p0p100;1973;1.2358301;999;i
BN;xlcyux999i;p0p100;1974;1.2425975;999;i
BN;xlcyux999i;p0p100;1975;1.2750136;999;i
BN;xlcyux999i;p0p100;1976;1.2727013;999;i
BN;xlcyux999i;p0p100;1977;1.3130419;999;i
BN;xlcyux999i;p0p100;1978;1.3507004;999;i
BN;xlcyux999i;p0p100;1979;1.3984848;999;i
BN;xlcyux999i;p0p100;1980;1.4290099;999;i
BN;xlcyux999i;p0p100;1981;1.2394485;999;i
BN;xlcyux999i;p0p100;1982;1.1307677;999;i
BN;xlcyux999i;p0p100;1983;1.0695332;999;i
BN;xlcyux999i;p0p100;1984;0.91941595;999;i
BN;xlcyux999i;p0p100;1985;0.74920189;999;i
BN;xlcyux999i;p0p100;1986;0.63062495;999;i
BN;xlcyux999i;p0p100;1987;0.56580514;999;i
BN;xlcyux999i;p0p100;1988;0.5406692;999;i
BN;xlcyux999i;p0p100;1989;0.51798201;999;i
BN;xlcyux999i;p0p100;1990;0.37893674;999;i
BN;xlcyux999i;p0p100;1991;0.32452056;999;i
BN;xlcyux999i;p0p100;1992;0.29539207;999;i
BN;xlcyux999i;p0p100;1993;0.28042391;999;i
BN;xlcyux999i;p0p100;1994;0.17722353;999;i
BN;xlcyux999i;p0p100;1995;0.16971672;999;i
BN;xlcyux999i;p0p100;1996;0.16959481;999;i
BN;xlcyux999i;p0p100;1997;0.17911202;999;i
BN;xlcyux999i;p0p100;1998;0.20215124;999;i
BN;xlcyux999i;p0p100;1999;0.2047482;999;i
BN;xlcyux999i;p0p100;2000;0.20824575;999;i
BN;xlcyux999i;p0p100;2001;0.21646826;999;i
BN;xlcyux999i;p0p100;2002;0.21633413;999;i
BN;xlcyux999i;p0p100;2003;0.21048394;999;i
BN;xlcyux999i;p0p100;2004;0.20421275;999;i
BN;xlcyux999i;p0p100;2005;0.20311607;999;i
BN;xlcyux999i;p0p100;2006;0.19927831;999;i
BN;xlcyux999i;p0p100;2007;0.1981065;999;i
BN;xlcyux999i;p0p100;2008;0.20394835;999;i
BN;xlcyux999i;p0p100;2009;0.21292353;999;i
BN;xlcyux999i;p0p100;2010;0.20139664;999;i
BN;xlcyux999i;p0p100;2011;0.19467933;999;i
BN;xlcyux999i;p0p100;2012;0.19795646;999;i
BN;xlcyux999i;p0p100;2013;0.20193906;999;i
BN;xlcyux999i;p0p100;2014;0.20624298;999;i
BN;xlcyux999i;p0p100;2015;0.22078095;999;i
BN;xlcyux999i;p0p100;2016;0.20789397;999;i
BN;xlcyux999i;p0p100;2017;0.20431148;999;i
BN;xlcyux999i;p0p100;2018;0.20564473;999;i
BN;xlcyup999i;p0p100;1970;0.17494746;999;i
BN;xlcyup999i;p0p100;1971;0.16944151;999;i
BN;xlcyup999i;p0p100;1972;0.19434549;999;i
BN;xlcyup999i;p0p100;1973;0.24267183;999;i
BN;xlcyup999i;p0p100;1974;0.5302518;999;i
BN;xlcyup999i;p0p100;1975;0.55281991;999;i
BN;xlcyup999i;p0p100;1976;0.56063193;999;i
BN;xlcyup999i;p0p100;1977;0.59985715;999;i
BN;xlcyup999i;p0p100;1978;0.57295728;999;i
BN;xlcyup999i;p0p100;1979;0.6160295;999;i
BN;xlcyup999i;p0p100;1980;1.0778871;999;i
BN;xlcyup999i;p0p100;1981;1.1586691;999;i
BN;xlcyup999i;p0p100;1982;1.0875683;999;i
BN;xlcyup999i;p0p100;1983;0.95296913;999;i
BN;xlcyup999i;p0p100;1984;0.9530493;999;i
BN;xlcyup999i;p0p100;1985;0.90824431;999;i
BN;xlcyup999i;p0p100;1986;0.58671653;999;i
BN;xlcyup999i;p0p100;1987;0.60738927;999;i
BN;xlcyup999i;p0p100;1988;0.47943094;999;i
BN;xlcyup999i;p0p100;1989;0.430206;999;i
BN;xlcyup999i;p0p100;1990;0.41158581;999;i
BN;xlcyup999i;p0p100;1991;0.38560262;999;i
BN;xlcyup999i;p0p100;1992;0.35822102;999;i
BN;xlcyup999i;p0p100;1993;0.27392936;999;i
BN;xlcyup999i;p0p100;1994;0.19727471;999;i
BN;xlcyup999i;p0p100;1995;0.16944608;999;i
BN;xlcyup999i;p0p100;1996;0.16031747;999;i
BN;xlcyup999i;p0p100;1997;0.16345903;999;i
BN;xlcyup999i;p0p100;1998;0.14336139;999;i
BN;xlcyup999i;p0p100;1999;0.15820041;999;i
BN;xlcyup999i;p0p100;2000;0.19119006;999;i
BN;xlcyup999i;p0p100;2001;0.17732117;999;i
BN;xlcyup999i;p0p100;2002;0.17789331;999;i
BN;xlcyup999i;p0p100;2003;0.18245657;999;i
BN;xlcyup999i;p0p100;2004;0.19828866;999;i
BN;xlcyup999i;p0p100;2005;0.2259078;999;i
BN;xlcyup999i;p0p100;2006;0.24044871;999;i
BN;xlcyup999i;p0p100;2007;0.22613904;999;i
BN;xlcyup999i;p0p100;2008;0.23639083;999;i
BN;xlcyup999i;p0p100;2009;0.18684377;999;i
BN;xlcyup999i;p0p100;2010;0.18404089;999;i
BN;xlcyup999i;p0p100;2011;0.20466134;999;i
BN;xlcyup999i;p0p100;2012;0.20410363;999;i
BN;xlcyup999i;p0p100;2013;0.19457869;999;i
BN;xlcyup999i;p0p100;2014;0.19010824;999;i
BN;xlcyup999i;p0p100;2015;0.15758322;999;i
BN;xlcyup999i;p0p100;2016;0.14400931;999;i
BN;xlcyup999i;p0p100;2017;0.15207008;999;i
BN;xlcyup999i;p0p100;2018;0.16710041;999;i
BN;xlcusx999i;p0p100;1960;3.0612199;999;i
BN;xlcusx999i;p0p100;1961;3.0612199;999;i
BN;xlcusx999i;p0p100;1962;3.0612199;999;i
BN;xlcusx999i;p0p100;1963;3.0612199;999;i
BN;xlcusx999i;p0p100;1964;3.0612199;999;i
BN;xlcusx999i;p0p100;1965;3.0612199;999;i
BN;xlcusx999i;p0p100;1966;3.0612199;999;i
BN;xlcusx999i;p0p100;1967;3.0612199;999;i
BN;xlcusx999i;p0p100;1968;3.0612199;999;i
BN;xlcusx999i;p0p100;1969;3.0612199;999;i
BN;xlcusx999i;p0p100;1970;3.0612199;999;i
BN;xlcusx999i;p0p100;1971;3.0522604;999;i
BN;xlcusx999i;p0p100;1972;2.8195558;999;i
BN;xlcusx999i;p0p100;1973;2.4585795;999;i
BN;xlcusx999i;p0p100;1974;2.4368668;999;i
BN;xlcusx999i;p0p100;1975;2.3713;999;i
BN;xlcusx999i;p0p100;1976;2.4708416;999;i
BN;xlcusx999i;p0p100;1977;2.4394;999;i
BN;xlcusx999i;p0p100;1978;2.274025;999;i
BN;xlcusx999i;p0p100;1979;2.1745584;999;i
BN;xlcusx999i;p0p100;1980;2.1412084;999;i
BN;xlcusx999i;p0p100;1981;2.1126916;999;i
BN;xlcusx999i;p0p100;1982;2.1400249;999;i
BN;xlcusx999i;p0p100;1983;2.11305;999;i
BN;xlcusx999i;p0p100;1984;2.1330833;999;i
BN;xlcusx999i;p0p100;1985;2.20015;999;i
BN;xlcusx999i;p0p100;1986;2.1774166;999;i
