country;variable;percentile;year;value;age;pop
BZ;xlcyux999i;p0p100;1960;0.58029282;999;i
BZ;xlcyux999i;p0p100;1961;0.58029282;999;i
BZ;xlcyux999i;p0p100;1962;0.58029282;999;i
BZ;xlcyux999i;p0p100;1963;0.58029282;999;i
BZ;xlcyux999i;p0p100;1964;0.58029282;999;i
BZ;xlcyux999i;p0p100;1965;0.58029282;999;i
BZ;xlcyux999i;p0p100;1966;0.58029282;999;i
BZ;xlcyux999i;p0p100;1967;0.58835262;999;i
BZ;xlcyux999i;p0p100;1968;0.6770103;999;i
BZ;xlcyux999i;p0p100;1969;0.6770103;999;i
BZ;xlcyux999i;p0p100;1970;0.6770103;999;i
BZ;xlcyux999i;p0p100;1971;0.66767251;999;i
BZ;xlcyux999i;p0p100;1972;0.71336949;999;i
BZ;xlcyux999i;p0p100;1973;0.82068515;999;i
BZ;xlcyux999i;p0p100;1974;0.87242901;999;i
BZ;xlcyux999i;p0p100;1975;0.97215885;999;i
BZ;xlcyux999i;p0p100;1976;1.1464179;999;i
BZ;xlcyux999i;p0p100;1977;1.0765285;999;i
BZ;xlcyux999i;p0p100;1978;1.1879381;999;i
BZ;xlcyux999i;p0p100;1979;1.2862241;999;i
BZ;xlcyux999i;p0p100;1980;1.3347695;999;i
BZ;xlcyux999i;p0p100;1981;1.1733359;999;i
BZ;xlcyux999i;p0p100;1982;1.0567799;999;i
BZ;xlcyux999i;p0p100;1983;1.0123123;999;i
BZ;xlcyux999i;p0p100;1984;0.86205351;999;i
BZ;xlcyux999i;p0p100;1985;0.68104619;999;i
BZ;xlcyux999i;p0p100;1986;0.57924145;999;i
BZ;xlcyux999i;p0p100;1987;0.53733104;999;i
BZ;xlcyux999i;p0p100;1988;0.53733104;999;i
BZ;xlcyux999i;p0p100;1989;0.5311932;999;i
BZ;xlcyux999i;p0p100;1990;0.41812938;999;i
BZ;xlcyux999i;p0p100;1991;0.37570035;999;i
BZ;xlcyux999i;p0p100;1992;0.36267418;999;i
BZ;xlcyux999i;p0p100;1993;0.34710422;999;i
BZ;xlcyux999i;p0p100;1994;0.2320524;999;i
BZ;xlcyux999i;p0p100;1995;0.23948033;999;i
BZ;xlcyux999i;p0p100;1996;0.24055304;999;i
BZ;xlcyux999i;p0p100;1997;0.24125986;999;i
BZ;xlcyux999i;p0p100;1998;0.24157628;999;i
BZ;xlcyux999i;p0p100;1999;0.24159697;999;i
BZ;xlcyux999i;p0p100;2000;0.24158953;999;i
BZ;xlcyux999i;p0p100;2001;0.24163145;999;i
BZ;xlcyux999i;p0p100;2002;0.24163468;999;i
BZ;xlcyux999i;p0p100;2003;0.24163237;999;i
BZ;xlcyux999i;p0p100;2004;0.24163924;999;i
BZ;xlcyux999i;p0p100;2005;0.2440716;999;i
BZ;xlcyux999i;p0p100;2006;0.25083283;999;i
BZ;xlcyux999i;p0p100;2007;0.26289734;999;i
BZ;xlcyux999i;p0p100;2008;0.2878255;999;i
BZ;xlcyux999i;p0p100;2009;0.29276508;999;i
BZ;xlcyux999i;p0p100;2010;0.29540923;999;i
BZ;xlcyux999i;p0p100;2011;0.30952749;999;i
BZ;xlcyux999i;p0p100;2012;0.31684008;999;i
BZ;xlcyux999i;p0p100;2013;0.3228015;999;i
BZ;xlcyux999i;p0p100;2014;0.32555082;999;i
BZ;xlcyux999i;p0p100;2015;0.32115674;999;i
BZ;xlcyux999i;p0p100;2016;0.30100182;999;i
BZ;xlcyux999i;p0p100;2017;0.29591247;999;i
BZ;xlcyux999i;p0p100;2018;0.30845216;999;i
BZ;xlcyup999i;p0p100;1960;0.26484594;999;i
BZ;xlcyup999i;p0p100;1961;0.21861336;999;i
BZ;xlcyup999i;p0p100;1962;0.25019634;999;i
BZ;xlcyup999i;p0p100;1963;0.2694878;999;i
BZ;xlcyup999i;p0p100;1964;0.26780131;999;i
BZ;xlcyup999i;p0p100;1965;0.26462758;999;i
BZ;xlcyup999i;p0p100;1966;0.27749321;999;i
BZ;xlcyup999i;p0p100;1967;0.27859017;999;i
BZ;xlcyup999i;p0p100;1968;0.28041479;999;i
BZ;xlcyup999i;p0p100;1969;0.28204608;999;i
BZ;xlcyup999i;p0p100;1970;0.29665321;999;i
BZ;xlcyup999i;p0p100;1971;0.3365227;999;i
BZ;xlcyup999i;p0p100;1972;0.40628812;999;i
BZ;xlcyup999i;p0p100;1973;0.66512811;999;i
BZ;xlcyup999i;p0p100;1974;0.84391266;999;i
BZ;xlcyup999i;p0p100;1975;1.0142356;999;i
BZ;xlcyup999i;p0p100;1976;0.95114106;999;i
BZ;xlcyup999i;p0p100;1977;1.041222;999;i
BZ;xlcyup999i;p0p100;1978;1.0764569;999;i
BZ;xlcyup999i;p0p100;1979;1.1553172;999;i
BZ;xlcyup999i;p0p100;1980;1.4349606;999;i
