country;variable;percentile;year;value;age;pop
CD;tptinc992j;p9p100;1990;394958.375;992;j
CD;tptinc992j;p9p100;1991;350412.15625;992;j
CD;tptinc992j;p9p100;1992;302828.875;992;j
CD;tptinc992j;p9p100;1993;252267.828125;992;j
CD;tptinc992j;p9p100;1994;234947.3125;992;j
CD;tptinc992j;p9p100;1995;230057.671875;992;j
CD;tptinc992j;p9p100;1996;222752.28125;992;j
CD;tptinc992j;p9p100;1997;205511.078125;992;j
CD;tptinc992j;p9p100;1998;198097.8125;992;j
CD;tptinc992j;p9p100;1999;185309.484375;992;j
CD;tptinc992j;p9p100;2000;167899.171875;992;j
CD;tptinc992j;p9p100;2001;160242.5;992;j
CD;tptinc992j;p9p100;2002;160607.390625;992;j
CD;tptinc992j;p9p100;2003;164771.09375;992;j
CD;tptinc992j;p9p100;2004;170622.953125;992;j
CD;tptinc992j;p9p100;2005;175412.71875;992;j
CD;tptinc992j;p9p100;2006;179141.578125;992;j
CD;tptinc992j;p9p100;2007;184593.09375;992;j
CD;tptinc992j;p9p100;2008;189582.578125;992;j
CD;tptinc992j;p9p100;2009;179933.15625;992;j
CD;tptinc992j;p9p100;2010;183487.46875;992;j
CD;tptinc992j;p9p100;2011;192317.609375;992;j
CD;tptinc992j;p9p100;2012;200608.5;992;j
CD;tptinc992j;p9p100;2013;198945.828125;992;j
CD;tptinc992j;p9p100;2014;227759.671875;992;j
CD;tptinc992j;p9p100;2015;232456.203125;992;j
CD;tptinc992j;p9p100;2016;233274.578125;992;j
CD;tptinc992j;p9p100;2017;230578.875;992;j
CD;tptinc992j;p9p10;1990;394958.375;992;j
CD;tptinc992j;p9p10;1991;350412.15625;992;j
CD;tptinc992j;p9p10;1992;302828.875;992;j
CD;tptinc992j;p9p10;1993;252267.828125;992;j
CD;tptinc992j;p9p10;1994;234947.3125;992;j
CD;tptinc992j;p9p10;1995;230057.671875;992;j
CD;tptinc992j;p9p10;1996;222752.28125;992;j
CD;tptinc992j;p9p10;1997;205511.078125;992;j
CD;tptinc992j;p9p10;1998;198097.8125;992;j
CD;tptinc992j;p9p10;1999;185309.484375;992;j
CD;tptinc992j;p9p10;2000;167899.171875;992;j
CD;tptinc992j;p9p10;2001;160242.5;992;j
CD;tptinc992j;p9p10;2002;160607.390625;992;j
CD;tptinc992j;p9p10;2003;164771.09375;992;j
CD;tptinc992j;p9p10;2004;170622.953125;992;j
CD;tptinc992j;p9p10;2005;175412.71875;992;j
CD;tptinc992j;p9p10;2006;179141.578125;992;j
CD;tptinc992j;p9p10;2007;184593.09375;992;j
CD;tptinc992j;p9p10;2008;189582.578125;992;j
CD;tptinc992j;p9p10;2009;179933.15625;992;j
CD;tptinc992j;p9p10;2010;183487.46875;992;j
CD;tptinc992j;p9p10;2011;192317.609375;992;j
CD;tptinc992j;p9p10;2012;200608.5;992;j
CD;tptinc992j;p9p10;2013;198945.828125;992;j
CD;tptinc992j;p9p10;2014;227759.671875;992;j
CD;tptinc992j;p9p10;2015;232456.203125;992;j
CD;tptinc992j;p9p10;2016;233274.578125;992;j
CD;tptinc992j;p9p10;2017;230578.875;992;j
CD;tptinc992j;p99p99.1;1990;29798516.0;992;j
CD;tptinc992j;p99p99.1;1991;26437626.0;992;j
CD;tptinc992j;p99p99.1;1992;22847600.0;992;j
CD;tptinc992j;p99p99.1;1993;19032910.0;992;j
CD;tptinc992j;p99p99.1;1994;17726124.0;992;j
CD;tptinc992j;p99p99.1;1995;17357214.0;992;j
CD;tptinc992j;p99p99.1;1996;16806044.0;992;j
CD;tptinc992j;p99p99.1;1997;15505243.0;992;j
CD;tptinc992j;p99p99.1;1998;14945931.0;992;j
CD;tptinc992j;p99p99.1;1999;13981088.0;992;j
CD;tptinc992j;p99p99.1;2000;12667528.0;992;j
CD;tptinc992j;p99p99.1;2001;12089853.0;992;j
CD;tptinc992j;p99p99.1;2002;12117383.0;992;j
CD;tptinc992j;p99p99.1;2003;12431524.0;992;j
CD;tptinc992j;p99p99.1;2004;12873030.0;992;j
CD;tptinc992j;p99p99.1;2005;13234404.0;992;j
CD;tptinc992j;p99p99.1;2006;13506717.0;992;j
CD;tptinc992j;p99p99.1;2007;13908345.0;992;j
CD;tptinc992j;p99p99.1;2008;14274517.0;992;j
CD;tptinc992j;p99p99.1;2009;13547968.0;992;j
CD;tptinc992j;p99p99.1;2010;13815589.0;992;j
CD;tptinc992j;p99p99.1;2011;14480449.0;992;j
CD;tptinc992j;p99p99.1;2012;15104707.0;992;j
CD;tptinc992j;p99p99.1;2013;14979517.0;992;j
CD;tptinc992j;p99p99.1;2014;17149040.0;992;j
CD;tptinc992j;p99p99.1;2015;17502662.0;992;j
CD;tptinc992j;p99p99.1;2016;17564282.0;992;j
CD;tptinc992j;p99p99.1;2017;17361310.0;992;j
CD;tptinc992j;p99p100;1990;29798516.0;992;j
CD;tptinc992j;p99p100;1991;26437626.0;992;j
CD;tptinc992j;p99p100;1992;22847600.0;992;j
CD;tptinc992j;p99p100;1993;19032910.0;992;j
CD;tptinc992j;p99p100;1994;17726124.0;992;j
CD;tptinc992j;p99p100;1995;17357214.0;992;j
CD;tptinc992j;p99p100;1996;16806044.0;992;j
CD;tptinc992j;p99p100;1997;15505243.0;992;j
CD;tptinc992j;p99p100;1998;14945931.0;992;j
CD;tptinc992j;p99p100;1999;13981088.0;992;j
CD;tptinc992j;p99p100;2000;12667528.0;992;j
CD;tptinc992j;p99p100;2001;12089853.0;992;j
CD;tptinc992j;p99p100;2002;12117383.0;992;j
CD;tptinc992j;p99p100;2003;12431524.0;992;j
CD;tptinc992j;p99p100;2004;12873030.0;992;j
CD;tptinc992j;p99p100;2005;13234404.0;992;j
CD;tptinc992j;p99p100;2006;13506717.0;992;j
CD;tptinc992j;p99p100;2007;13908345.0;992;j
CD;tptinc992j;p99p100;2008;14274517.0;992;j
CD;tptinc992j;p99p100;2009;13547968.0;992;j
CD;tptinc992j;p99p100;2010;13815589.0;992;j
CD;tptinc992j;p99p100;2011;14480449.0;992;j
CD;tptinc992j;p99p100;2012;15104707.0;992;j
CD;tptinc992j;p99p100;2013;14979517.0;992;j
CD;tptinc992j;p99p100;2014;17149040.0;992;j
CD;tptinc992j;p99p100;2015;17502662.0;992;j
CD;tptinc992j;p99p100;2016;17564282.0;992;j
CD;tptinc992j;p99p100;2017;17361310.0;992;j
CD;tptinc992j;p99.9p99.91;1990;95418608.0;992;j
CD;tptinc992j;p99.9p99.91;1991;84656616.0;992;j
CD;tptinc992j;p99.9p99.91;1992;73160896.0;992;j
CD;tptinc992j;p99.9p99.91;1993;60945776.0;992;j
CD;tptinc992j;p99.9p99.91;1994;56761288.0;992;j
CD;tptinc992j;p99.9p99.91;1995;55579992.0;992;j
CD;tptinc992j;p99.9p99.91;1996;53815068.0;992;j
CD;tptinc992j;p99.9p99.91;1997;49649740.0;992;j
CD;tptinc992j;p99.9p99.91;1998;47858756.0;992;j
CD;tptinc992j;p99.9p99.91;1999;44769208.0;992;j
CD;tptinc992j;p99.9p99.91;2000;40563020.0;992;j
CD;tptinc992j;p99.9p99.91;2001;38713232.0;992;j
CD;tptinc992j;p99.9p99.91;2002;38801388.0;992;j
CD;tptinc992j;p99.9p99.91;2003;39807304.0;992;j
CD;tptinc992j;p99.9p99.91;2004;41221064.0;992;j
CD;tptinc992j;p99.9p99.91;2005;42378228.0;992;j
CD;tptinc992j;p99.9p99.91;2006;42959216.0;992;j
CD;tptinc992j;p99.9p99.91;2007;43934504.0;992;j
CD;tptinc992j;p99.9p99.91;2008;44778556.0;992;j
CD;tptinc992j;p99.9p99.91;2009;42499404.0;992;j
CD;tptinc992j;p99.9p99.91;2010;43338916.0;992;j
CD;tptinc992j;p99.9p99.91;2011;45424556.0;992;j
CD;tptinc992j;p99.9p99.91;2012;47382828.0;992;j
CD;tptinc992j;p99.9p99.91;2013;46990112.0;992;j
CD;tptinc992j;p99.9p99.91;2014;53795812.0;992;j
CD;tptinc992j;p99.9p99.91;2015;54905108.0;992;j
CD;tptinc992j;p99.9p99.91;2016;55098408.0;992;j
CD;tptinc992j;p99.9p99.91;2017;54461692.0;992;j
CD;tptinc992j;p99.9p100;1990;95418608.0;992;j
CD;tptinc992j;p99.9p100;1991;84656616.0;992;j
