country;variable;percentile;year;value;age;pop
CF;tptinc992j;p9p100;1990;34657.828125;992;j
CF;tptinc992j;p9p100;1991;34531.82421875;992;j
CF;tptinc992j;p9p100;1992;33098.4765625;992;j
CF;tptinc992j;p9p100;1993;37719.109375;992;j
CF;tptinc992j;p9p100;1994;44119.421875;992;j
CF;tptinc992j;p9p100;1995;51130.5390625;992;j
CF;tptinc992j;p9p100;1996;51048.03515625;992;j
CF;tptinc992j;p9p100;1997;58583.421875;992;j
CF;tptinc992j;p9p100;1998;65777.3984375;992;j
CF;tptinc992j;p9p100;1999;74175.71875;992;j
CF;tptinc992j;p9p100;2000;79496.875;992;j
CF;tptinc992j;p9p100;2001;84580.734375;992;j
CF;tptinc992j;p9p100;2002;88131.4140625;992;j
CF;tptinc992j;p9p100;2003;84925.671875;992;j
CF;tptinc992j;p9p100;2004;77601.015625;992;j
CF;tptinc992j;p9p100;2005;70032.2265625;992;j
CF;tptinc992j;p9p100;2006;64102.44140625;992;j
CF;tptinc992j;p9p100;2007;57346.328125;992;j
CF;tptinc992j;p9p100;2008;49556.359375;992;j
CF;tptinc992j;p9p100;2009;49701.50390625;992;j
CF;tptinc992j;p9p100;2010;50989.0703125;992;j
CF;tptinc992j;p9p100;2011;52237.0;992;j
CF;tptinc992j;p9p100;2012;54310.6171875;992;j
CF;tptinc992j;p9p100;2013;33972.18359375;992;j
CF;tptinc992j;p9p100;2014;34714.765625;992;j
CF;tptinc992j;p9p100;2015;36645.640625;992;j
CF;tptinc992j;p9p100;2016;37927.24609375;992;j
CF;tptinc992j;p9p100;2017;38976.16796875;992;j
CF;tptinc992j;p9p10;1990;34657.828125;992;j
CF;tptinc992j;p9p10;1991;34531.82421875;992;j
CF;tptinc992j;p9p10;1992;33098.4765625;992;j
CF;tptinc992j;p9p10;1993;37719.109375;992;j
CF;tptinc992j;p9p10;1994;44119.421875;992;j
CF;tptinc992j;p9p10;1995;51130.5390625;992;j
CF;tptinc992j;p9p10;1996;51048.03515625;992;j
CF;tptinc992j;p9p10;1997;58583.421875;992;j
CF;tptinc992j;p9p10;1998;65777.3984375;992;j
CF;tptinc992j;p9p10;1999;74175.71875;992;j
CF;tptinc992j;p9p10;2000;79496.875;992;j
CF;tptinc992j;p9p10;2001;84580.734375;992;j
CF;tptinc992j;p9p10;2002;88131.4140625;992;j
CF;tptinc992j;p9p10;2003;84925.671875;992;j
CF;tptinc992j;p9p10;2004;77601.015625;992;j
CF;tptinc992j;p9p10;2005;70032.2265625;992;j
CF;tptinc992j;p9p10;2006;64102.44140625;992;j
CF;tptinc992j;p9p10;2007;57346.328125;992;j
CF;tptinc992j;p9p10;2008;49556.359375;992;j
CF;tptinc992j;p9p10;2009;49701.50390625;992;j
CF;tptinc992j;p9p10;2010;50989.0703125;992;j
CF;tptinc992j;p9p10;2011;52237.0;992;j
CF;tptinc992j;p9p10;2012;54310.6171875;992;j
CF;tptinc992j;p9p10;2013;33972.18359375;992;j
CF;tptinc992j;p9p10;2014;34714.765625;992;j
CF;tptinc992j;p9p10;2015;36645.640625;992;j
CF;tptinc992j;p9p10;2016;37927.24609375;992;j
CF;tptinc992j;p9p10;2017;38976.16796875;992;j
CF;tptinc992j;p99p99.1;1990;9768679.0;992;j
CF;tptinc992j;p99p99.1;1991;9733164.0;992;j
CF;tptinc992j;p99p99.1;1992;9329159.0;992;j
CF;tptinc992j;p99p99.1;1993;8813560.0;992;j
CF;tptinc992j;p99p99.1;1994;8747133.0;992;j
CF;tptinc992j;p99p99.1;1995;8750858.0;992;j
CF;tptinc992j;p99p99.1;1996;7642421.0;992;j
CF;tptinc992j;p99p99.1;1997;7752269.0;992;j
CF;tptinc992j;p99p99.1;1998;7758026.0;992;j
CF;tptinc992j;p99p99.1;1999;7850308.0;992;j
CF;tptinc992j;p99p99.1;2000;7591220.0;992;j
CF;tptinc992j;p99p99.1;2001;7320002.5;992;j
CF;tptinc992j;p99p99.1;2002;6937653.0;992;j
CF;tptinc992j;p99p99.1;2003;6098046.5;992;j
CF;tptinc992j;p99p99.1;2004;6548744.0;992;j
CF;tptinc992j;p99p99.1;2005;6972855.0;992;j
CF;tptinc992j;p99p99.1;2006;7591419.5;992;j
CF;tptinc992j;p99p99.1;2007;8179900.5;992;j
CF;tptinc992j;p99p99.1;2008;8671437.0;992;j
CF;tptinc992j;p99p99.1;2009;8696834.0;992;j
CF;tptinc992j;p99p99.1;2010;8922134.0;992;j
CF;tptinc992j;p99p99.1;2011;9140499.0;992;j
CF;tptinc992j;p99p99.1;2012;9503343.0;992;j
CF;tptinc992j;p99p99.1;2013;5944497.0;992;j
CF;tptinc992j;p99p99.1;2014;6074435.0;992;j
CF;tptinc992j;p99p99.1;2015;6412302.5;992;j
CF;tptinc992j;p99p99.1;2016;6636559.0;992;j
CF;tptinc992j;p99p99.1;2017;6820101.0;992;j
CF;tptinc992j;p99p100;1990;9768679.0;992;j
CF;tptinc992j;p99p100;1991;9733164.0;992;j
CF;tptinc992j;p99p100;1992;9329159.0;992;j
CF;tptinc992j;p99p100;1993;8813560.0;992;j
CF;tptinc992j;p99p100;1994;8747133.0;992;j
CF;tptinc992j;p99p100;1995;8750858.0;992;j
CF;tptinc992j;p99p100;1996;7642421.0;992;j
CF;tptinc992j;p99p100;1997;7752269.0;992;j
CF;tptinc992j;p99p100;1998;7758026.0;992;j
CF;tptinc992j;p99p100;1999;7850308.0;992;j
CF;tptinc992j;p99p100;2000;7591220.0;992;j
CF;tptinc992j;p99p100;2001;7320002.5;992;j
CF;tptinc992j;p99p100;2002;6937653.0;992;j
CF;tptinc992j;p99p100;2003;6098046.5;992;j
CF;tptinc992j;p99p100;2004;6548744.0;992;j
CF;tptinc992j;p99p100;2005;6972855.0;992;j
CF;tptinc992j;p99p100;2006;7591419.5;992;j
CF;tptinc992j;p99p100;2007;8179900.5;992;j
CF;tptinc992j;p99p100;2008;8671437.0;992;j
CF;tptinc992j;p99p100;2009;8696834.0;992;j
CF;tptinc992j;p99p100;2010;8922134.0;992;j
CF;tptinc992j;p99p100;2011;9140499.0;992;j
CF;tptinc992j;p99p100;2012;9503343.0;992;j
CF;tptinc992j;p99p100;2013;5944497.0;992;j
CF;tptinc992j;p99p100;2014;6074435.0;992;j
